"amt_ICU beds needed|Mitigated",date,dataKey,hospital_capacity,icu_capacity,"range_ICU beds needed|Mitigated",epi_week,"amt_Hospital beds needed|Mitigated","range_Hospital beds needed|Mitigated","amt_New Deaths|Mitigated","range_New Deaths|Mitigated","amt_Total Deaths|Mitigated","range_Total Deaths|Mitigated","amt_New Infectious|Mitigated","range_New Infectious|Mitigated","amt_Total Infectious|Mitigated","range_Total Infectious|Mitigated","amt_New Attack Rate|Mitigated","range_New Attack Rate|Mitigated","amt_Attack Rate|Mitigated","range_Attack Rate|Mitigated","amt_New Deaths per 10,000|Mitigated","range_New Deaths per 10,000|Mitigated","amt_Total Deaths per 10,000|Mitigated","range_Total Deaths per 10,000|Mitigated","amt_New Infectious per 10,000|Mitigated","range_New Infectious per 10,000|Mitigated","amt_Total Infectious per 10,000|Mitigated","range_Total Infectious per 10,000|Mitigated"
76.4742293031048,2020-03-19,"Total Infectious per 10,000|Mitigated",80802,8719,34.0052194350789|107.020877740316,2020-12,331.518227489058,134.790823288649|457.04697491571,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0
923.901112551573,2020-05-14,"Hospital beds needed|Mitigated",80802,8719,776.779380902567|1072.00072508182,2020-20,3469.83589592685,2819.30157186222|3886.54529279158,72.8995584201294,65.6309465834663|82.0261284864053,3449.48372550256,3013.80198523673|3831.86506052528,11325.6088579628,9765.44571334063|12578.6825655266,717806.265915208,592447.088637757|799338.654634747,0.000260054004453947,0.000224230175602998|0.000288826571087204,0.0164819742774485,0.0136035280539474|0.0183540876838994,0.0167388988334612,0.0150699098734402|0.0188345045730113,0.792056363031614,0.692016901449877|0.879857203276234,2.60054004453947,2.24230175602998|2.88826571087204,164.819742774485,136.035280539474|183.540876838994
921.632628921482,2020-05-15,"Hospital beds needed|Mitigated",80802,8719,789.33288208939|1070.87321018835,2020-20,3455.11932630115,2817.46440009436|3871.06295404985,72.5295873097018,64.2127145264918|81.3006861074696,3522.01331281226,3087.88184845237|3906.74161978354,11251.3273020356,9658.20480732893|12522.6890610114,729057.593217244,602687.853825091|810988.770366407,0.000258348381708347,0.000221767753723577|0.000287540871108049,0.0167403226591568,0.0138386723211597|0.0186215928826367,0.0166539475782964,0.0147442612215341|0.0186679314571561,0.808710310609908,0.709026817049324|0.897050052966742,2.58348381708347,2.21767753723577|2.87540871108049,167.403226591568,138.386723211597|186.215928826367
918.881538478908,2020-05-16,"Hospital beds needed|Mitigated",80802,8719,789.134982586461|1066.27648093011,2020-20,3440.93591423086,2843.52580854676|3828.20290905581,72.2263195458012,63.5351566896122|80.6902997189727,3594.23963235806,3157.79155737921|3982.91141925126,11175.0710947557,9491.34873907427|12392.9556685925,740232.664311998,613136.120950635|822730.813451597,0.000256597417824963,0.000217936472839587|0.000284561985943195,0.0169969200769818,0.0140785811631194|0.0188912088797164,0.0165843124730997,0.014588683158633|0.0185277770278591,0.825294623083009,0.725079198854697|0.914539851191681,2.56597417824963,2.17936472839587|2.84561985943195,169.969200769818,140.785811631194|188.912088797164
915.075486439509,2020-05-17,"Hospital beds needed|Mitigated",80802,8719,789.66352113618|1070.1420003866,2020-21,3425.26841846843,2833.26833058161|3856.68846599029,71.9672917391184,65.0483224599542|79.8016510128458,3666.20692409718,3228.77446937938|4059.49147641701,11106.0499872818,9471.6670512147|12299.3861856555,751338.71429928,623296.040811487|834374.439649262,0.000255012583348022,0.000217484549962284|0.000282413481696084,0.0172519326603298,0.0143118690929677|0.0191585650684249,0.0165248355661734,0.0149361301020293|0.018323729141799,0.841819458649183,0.741378005166084|0.932123851113472,2.55012583348022,2.17484549962284|2.82413481696084,172.519326603298,143.118690929677|191.585650684249
911.705915853077,2020-05-18,"Hospital beds needed|Mitigated",80802,8719,788.113663865224|1073.80687296889,2020-21,3409.03653991547,2819.63656269115|3818.51418892211,71.6253116895888,62.4596102730707|79.3571959086457,3737.83223578677,3300.17048259077|4136.71770517499,11031.5469190235,9415.21758601104|12402.4284139146,762370.261218302,633370.308581043|845924.837454675,0.000253301874326754,0.000216188380400047|0.000284779495251973,0.0175052345346565,0.0145431903144817|0.0194237805848712,0.0164463115040777,0.0143417205837238|0.018221675176227,0.85826577015326,0.757771666090208|0.949856222316869,2.53301874326754,2.16188380400047|2.84779495251973,175.052345346565,145.431903144817|194.237805848712
908.006678081985,2020-05-19,"Hospital beds needed|Mitigated",80802,8719,787.192305949063|1047.80165353381,2020-21,3392.3396903994,2826.03309856126|3826.3710157234,71.2425938814444,62.8073780138976|78.9334853583195,3809.07482966821,3369.33996791053|4211.5093001828,10957.5819425588,9281.10457855103|12203.2953651149,773327.84316086,643453.570176879|857288.482689172,0.000251603520749457,0.000213108932303549|0.000280207083524804,0.0177568380554059,0.0147747180485611|0.0196847079650665,0.0163584334042492,0.0144215735918544|0.0181243844903808,0.87462420355751,0.773654080774496|0.967029562863241,2.51603520749457,2.13108932303549|2.80207083524804,177.568380554059,147.747180485611|196.847079650665
903.36920907247,2020-05-20,"Hospital beds needed|Mitigated",80802,8719,777.471535017477|1042.91003690192,2020-21,3375.39145182962,2836.22116042654|3768.35451028145,71.0298963824476,62.9075419821633|79.3239283644976,3880.10472605066,3439.38390785222|4285.91299783742,10876.0495279183,9225.01925711487|12188.8732324576,784203.892688781,653474.560075756|868744.477859786,0.000249731406747821,0.00021182112406176|0.000279875928405697,0.0180065694621538,0.0150048159253709|0.019947755846773,0.0163095946733296,0.0144445728331104|0.0182140364186268,0.890933798230839,0.789737284157211|0.984113836003807,2.49731406747821,2.1182112406176|2.79875928405697,180.065694621538,150.048159253709|199.47755846773
899.421375214276,2020-05-21,"Hospital beds needed|Mitigated",80802,8719,775.578293136442|1036.66779736514,2020-21,3359.37823846091,2820.27379573222|3728.42960296611,70.5420546111847,62.0219815127287|79.1460024676765,3950.64678066184,3506.62759862959|4359.25609220391,10805.9943176037,9042.24426718261|12183.0352554478,795009.887006384,663553.084665099|880103.559686312,0.00024812282762385,0.00020762431940057|0.000279741879162223,0.0182546922897776,0.0152362348902422|0.0202085784438585,0.0161975784384871,0.0142412340553451|0.0181731818009681,0.907131376669325,0.80517750576492|1.00095457774957,2.4812282762385,2.0762431940057|2.79741879162223,182.546922897776,152.362348902422|202.085784438585
896.274794949708,2020-05-22,"Hospital beds needed|Mitigated",80802,8719,767.562634831205|1016.79682769518,2020-21,3340.91262561233,2774.53931926718|3699.98386264026,70.0485042599565,62.3782663600806|78.8415271367923,4020.6952849218,3576.20006654089|4434.03770264977,10749.1247363898,9030.50073876522|12072.2386576594,805759.011742773,673545.487056808|891139.463177167,0.00024681701152939,0.000207354669297899|0.000277197812940609,0.018501509301307,0.0154656763523894|0.0204619803520081,0.0160842514228306,0.0143230427266864|0.0181032694191732,0.923215628092157,0.821152451665826|1.01812562568161,2.4681701152939,2.07354669297899|2.77197812940609,185.01509301307,154.656763523894|204.619803520081
892.013955673309,2020-05-23,"Hospital beds needed|Mitigated",80802,8719,758.685811384639|1018.12689169104,2020-21,3322.22234966861,2748.31574456126|3687.24949837744,69.8233264797724,62.24651662922|77.3921519969928,4090.51861140157,3646.15362285409|4501.64467004605,10662.7599762756,9027.81100647822|12084.6390591334,816421.771719048,683373.95598418|902244.960803277,0.000244833939184841,0.000207292908763793|0.000277482545894094,0.0187463432404919,0.0156913536412901|0.0207169802522645,0.0160325470207227,0.014292790891641|0.0177704698197981,0.939248175112879,0.837214901528954|1.03364926138269,2.44833939184841,2.07292908763793|2.77482545894094,187.463432404919,156.913536412901|207.169802522645
888.504956953492,2020-05-24,"Hospital beds needed|Mitigated",80802,8719,750.246107525752|1015.13211112612,2020-22,3304.96785318675,2721.64261268271|3738.41714350239,69.1777011147577,61.2886794527648|76.3704902809375,4159.69631251633,3715.17518611924|4572.71326023711,10591.1241593866,8678.26183016956|11944.5892104637,827012.895878436,693167.744802284|913074.178650032,0.000243189066818335,0.000199266703356855|0.000274266778474746,0.0189895323073102,0.0159162346196875|0.0209656363290787,0.0158843011615775,0.0140728562316365|0.0175358800297131,0.955132476274456,0.853063350955276|1.0499677407703,2.43189066818335,1.99266703356855|2.74266778474746,189.895323073102,159.162346196875|209.656363290787
884.157202862785,2020-05-25,"Hospital beds needed|Mitigated",80802,8719,747.239262841529|1011.13211112612,2020-22,3286.06108780472,2720.72641431199|3706.662892222,68.6755375192231,61.258631918636|77.8223921094992,4228.37185003555,3786.32872334968|4643.03821814879,10527.9811699799,8779.50268312371|11923.7701522038,837540.877048416,702975.945072102|924030.769722868,0.000241739203287434,0.000201591354468795|0.00027378873976289,0.0192312715105976,0.0161414465079524|0.0212172170978823,0.0157689964079457,0.0140659568395842|0.017869259797041,0.970901472682402,0.869401335535088|1.06611547035141,2.41739203287434,2.01591354468795|2.7378873976289,192.312715105976,161.414465079524|212.172170978823
879.601700821584,2020-05-26,"Hospital beds needed|Mitigated",80802,8719,754.524447594097|995.047738279599,2020-22,3267.31433124047,2698.50987835416|3671.87420874475,68.4264189380542,59.2937659625406|76.7104172157819,4296.79826897361,3851.80221523367|4713.84392363823,10457.8148316866,8736.01594527498|11942.7620327115,847998.691880102,712684.018120925|934871.534293835,0.000240128072488208,0.000200592829757229|0.000274224823565543,0.0194713995830858,0.0163643593158676|0.0214661383058614,0.015711794816906,0.0136147923445835|0.0176139326640011,0.986613267499308,0.884435091303586|1.08237358722764,2.40128072488208,2.00592829757229|2.74224823565543,194.713995830858,163.643593158676|214.661383058614
874.80156813339,2020-05-27,"Hospital beds needed|Mitigated",80802,8719,744.702621360367|991.092786124909,2020-22,3248.39618633722,2663.3562662853|3633.48196382955,67.9122257607538,59.940754554633|75.478263414915,4364.71049473435,3917.15436471356|4783.91746386199,10387.5045064943,8614.98600508419|11872.5851827546,858386.196386595,722315.631122935|945776.476314999,0.000238513635520622,0.00019781378970736|0.000272613451401792,0.0197099132186064,0.0165855164794194|0.0217165331302375,0.015593727879846,0.0137633512223619|0.0173310105411933,1.00220699537915,0.8994409849249|1.09846358730621,2.38513635520622,1.9781378970736|2.72613451401792,197.099132186064,165.855164794194|217.165331302375
870.507083968658,2020-05-28,"Hospital beds needed|Mitigated",80802,8719,742.781718999614|1008.54151634581,2020-22,3229.3061754317,2633.70553657168|3666.59805171195,67.4194059622052,59.7401243217028|76.3808958112956,4432.12990069655,3983.46216052497|4853.91972025166,10318.8113913975,8544.40098348733|11877.1034327671,868705.007777994,731606.775661129|956482.694779694,0.000236936332270672,0.000196193045273137|0.00027271719761302,0.0199468495508771,0.0167988559451752|0.021962364945482,0.0154805686107118,0.0137172833277857|0.0175382693050907,1.01768756398986,0.91466631015335|1.11453721948198,2.36936332270672,1.96193045273137|2.7271719761302,199.468495508771,167.988559451752|219.62364945482
