county,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed,totdea_mean_smoothed,totdea_lower_smoothed,totdea_upper_smoothed,mobility_data_type,mobility_composite,total_tests_data_type,total_tests,confirmed_infections,est_infections_mean,est_infections_lower,est_infections_upper
California,2020-08-05,3017.8,1966.9,4686.8,882.8,580,1360.1,788,517.8,1220.1,388.1,223,695,112.1,69.2,185,0,0,0,0,0,0,88.8619976465933,58.8350929494182,137.606951893033,9197.5162708641,8402.50080818813,10260.1929464548,88.8619976465933,58.8350929494182,137.606951893033,9197.5162708641,8402.50080818813,10260.1929464548,projected,-27.3368748466072,projected,114572.029499182,,9400.04726836401,5990.71759653371,16253.7366698068
California,2020-08-06,3000.4,1953.9,4690.2,876,578,1360.1,782,518,1220.1,379.3,220,665,110.9,69,180,0,0,0,0,0,0,88.185151838339,58.1378381215807,137.609169952373,9285.70142270244,8461.01261331082,10400.778167549,88.185151838339,58.1378381215807,137.609169952373,9285.70142270244,8461.01261331082,10400.778167549,projected,-27.1682322859202,projected,115168.75881949,,9334.22969457583,5931.39294231422,16182.4224538177
California,2020-08-07,2977.7,1921.7,4661.9,869.9,566.5,1360.4,776.6,505.9,1225.4,373.8,207.5,670.1,110.8,69,180.1,0,0,0,0,0,0,87.4823624554492,57.4733079918818,137.798878938132,9373.18378515788,8518.95322526084,10540.1535354015,87.4823624554492,57.4733079918818,137.798878938132,9373.18378515788,8518.95322526084,10540.1535354015,projected,-26.9971499829289,projected,115765.488139798,,9271.45800165895,5875.09061288461,16113.9202407788
California,2020-08-08,2959.4,1889.8,4711.1,864.1,554.9,1355,771,498.9,1215.8,371.5,215.5,665,110,66.4,185,0,0,0,0,0,0,86.777191824919,56.8512195218943,137.715319336095,9459.9609769828,8576.3630475182,10673.4145018054,86.777191824919,56.8512195218943,137.715319336095,9459.9609769828,8576.3630475182,10673.4145018054,projected,-26.8236267378856,projected,116362.217460106,,9210.21465028975,5821.22845139764,16046.7544479141
California,2020-08-09,2934.4,1883.3,4610.6,856.8,557,1350.1,764.2,496.6,1225.1,368,209.9,660.1,108.3,66.2,180,0,0,0,0,0,0,86.0677887130686,56.22137965824,137.683429032576,9546.02876569587,8633.22997111391,10810.5472693523,86.0677887130686,56.22137965824,137.683429032576,9546.02876569587,8633.22997111391,10810.5472693523,projected,-26.6476628052548,projected,116958.946780414,,9151.33074006571,5774.81759958994,15981.3856811175
California,2020-08-10,2906.4,1844.1,4650.1,850.3,547.3,1345.2,758.5,489.9,1210.1,366.1,211.8,690.6,107.2,63.6,180,0,0,0,0,0,0,85.3468947814576,55.5777300103741,137.541135468287,9631.37566047733,8692.3936564126,10943.5931271227,85.3468947814576,55.5777300103741,137.541135468287,9631.37566047733,8692.3936564126,10943.5931271227,projected,-26.4692599342312,projected,117555.676100723,,9094.85529547489,5735.65525574666,15918.0007538333
California,2020-08-11,2875,1844.4,4620.5,843.2,542.4,1340,752.2,482.7,1210.1,357.8,208.3,650.1,106.1,66.4,180,0,0,0,0,0,0,84.6152848891639,54.9425411725997,137.351300269694,9715.99094536649,8751.84165147526,11074.5165833914,84.6152848891639,54.9425411725997,137.351300269694,9715.99094536649,8751.84165147526,11074.5165833914,projected,-26.2884214081589,projected,118152.405421031,,9040.79315863604,5698.91661955342,15856.6177186731
California,2020-08-12,2845.6,1803.6,4705,836.4,532.9,1335.1,746.3,475.4,1205.2,359.5,198.9,690,105.6,63.6,180,0,0,0,0,0,0,83.8677276477377,54.3155557507012,136.911920445108,9799.85867301423,8809.59581657421,11204.7811189215,83.8677276477377,54.3155557507012,136.911920445108,9799.85867301423,8809.59581657421,11204.7811189215,projected,-26.1051520827166,projected,118749.134741339,,8989.79600688405,5652.2693072252,15796.4564863743
California,2020-08-13,2816.8,1780.7,4660.1,829.5,526.4,1335.2,739.8,468,1205.2,352.8,198.9,640,104.5,63.6,175.1,0,0,0,0,0,0,83.0973250871715,53.6967081632627,136.273019043653,9882.9559981014,8858.37891381168,11334.3428326938,83.0973250871715,53.6967081632627,136.273019043653,9882.9559981014,8858.37891381168,11334.3428326938,projected,-25.919458422733,projected,119345.864061647,,8943.509398359,5610.18695420567,15743.0639663732
California,2020-08-14,2791.9,1774.5,4670.8,821.7,517,1350.1,732.7,458.2,1205.1,350.3,196,650,102.8,61.8,180,0,0,0,0,0,0,82.3166264843248,53.1069252270982,135.404008275584,9965.27262458573,8908.73200243686,11463.1602397954,82.3166264843248,53.1069252270982,135.404008275584,9965.27262458573,8908.73200243686,11463.1602397954,projected,-25.7313485374982,projected,119942.593381955,,8902.31448208706,5583.38134812433,15695.1071208077
California,2020-08-15,2768.1,1746.3,4625.1,814.1,510.9,1340.5,725.9,453.3,1205.2,349.5,192.7,650,101.9,62,175,0,0,0,0,0,0,81.5496197512842,52.5938201561653,133.781909887393,10046.822244337,8962.12006100956,11594.9547929023,81.5496197512842,52.5938201561653,133.781909887393,10046.822244337,8962.12006100956,11594.9547929023,projected,-25.3226815768045,projected,120539.322702264,,8876.21386639037,5565.3763609115,15592.5491384128
California,2020-08-16,2743.1,1717.1,4525.9,806.8,507,1345.1,719,451.8,1190,344.7,191.8,630.2,101.3,61.8,175,0,0,0,0,0,0,80.804205105977,52.0363017801889,133.224000687526,10127.626449443,9015.02263751186,11728.719075622,80.804205105977,52.0363017801889,133.224000687526,10127.626449443,9015.02263751186,11728.719075622,projected,-25.122214063476,projected,121136.052022572,,8853.78980796277,5543.67487811036,15544.6893986683
California,2020-08-17,2717.9,1712.2,4486.9,800.2,503.6,1350,713.1,451.8,1180.6,342.3,190,635.2,100.6,62,180,0,0,0,0,0,0,80.0782595424385,51.4853274872613,133.096304097602,10207.7047089854,9067.43601396586,11861.6362648799,80.0782595424385,51.4853274872613,133.096304097602,10207.7047089854,9067.43601396586,11861.6362648799,projected,-24.9192715568955,projected,121732.78134288,,8824.10656439441,5501.70733592138,15586.8984031906
