date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-04-25,CA,60,0.855701568983166,0.854322377540089,0.783392925547529,0.915357761025778,1992.29970192749,3409.02062984399,6098.79594381983,1883,11862,11862,1883,89
2020-04-26,CA,61,0.862579799172906,0.862091647241542,0.796737070792617,0.925772031745404,1929.63927033008,3321.57571774693,2108.8271248557,1027,20049,20049,1027,59
2020-04-27,CA,62,0.870188117776614,0.869580034735254,0.805494543107638,0.939317786714732,1871.71946648216,3231.7307170794,1958.60307949237,1300,27325,27325,1300,45
2020-04-28,CA,63,0.878702357660253,0.874485070532009,0.808417150682054,0.94736304501836,1818.33335730839,3140.48483419699,2665.84459222889,1567,24199,24199,1567,54
2020-04-29,CA,64,0.887002685228108,0.887507763804184,0.820621006450138,0.95763947241019,1769.28334054047,3048.77347841139,2368.73905981966,1469,25531,25531,1469,78
2020-04-30,CA,65,0.89486815108455,0.89298381802522,0.82712464912797,0.973004300461918,1724.52563483568,2957.51112621216,4482.55941452143,2417,22198,22198,2417,95
2020-05-01,CA,66,0.906658606948518,0.905605870944182,0.832777585696108,0.978020849313854,1683.90965085852,2867.4172248675,2117.56959736217,1525,29648,29648,1525,91
2020-05-02,CA,67,0.917947828241732,0.916449240010836,0.848188199711639,0.988338374957653,1647.13214519039,2779.26668290907,2270.74044090214,1755,31818,31818,1755,98
2020-05-03,CA,68,0.927233056751735,0.926211487865339,0.849427377839574,0.990059952048929,1614.47896132287,2693.6191836761,2018.02751245671,1419,28948,28948,1419,44
2020-05-04,CA,69,0.938424432179274,0.936155323647614,0.862176371739101,1.01322151540308,1586.26095273809,2610.97565414499,1692.97276342514,1321,32123,32123,1321,39
2020-05-05,CA,70,0.946992051565505,0.947306125310908,0.867113692557712,1.01180893815197,1561.96742782375,2531.74137783213,1638.86664463281,1275,32028,32028,1275,63
2020-05-06,CA,71,0.957200601525596,0.955927278036365,0.878258928476987,1.02393643863199,1541.2366573088,2456.22433691758,3678.21662952555,2603,29134,29134,2603,95
2020-05-07,CA,72,0.964230911723264,0.960992730021838,0.889110177026375,1.03679180752581,1523.7647747717,2384.65121414461,2188.71759186725,1799,33838,33838,1799,92
2020-05-08,CA,73,0.972779805816959,0.969660758419844,0.898648604864368,1.0463267712972,1509.34570294923,2317.17275050374,2411.79981958171,1898,32398,32398,1898,81
2020-05-09,CA,74,0.981892916659456,0.978856599428517,0.902718752685376,1.05789509875148,1497.61267451418,2253.90429887023,2261.62015126543,2049,37298,37298,2049,93
2020-05-10,CA,75,0.989002024565955,0.987663937330951,0.896358870266229,1.05421325767311,1488.30877885874,2194.95572306308,2024.31177216829,2119,43094,43094,2119,67
2020-05-11,CA,76,0.994376556055562,0.992023443252263,0.910873845848924,1.06617761613515,1481.57461680613,2140.39661299033,1430.48954302676,1259,36233,36233,1259,25
2020-05-12,CA,77,1.00107413499436,0.998143191925377,0.917725056605171,1.07675455635107,1477.23151930643,2090.24155607473,1432.39940089488,1443,41473,41473,1443,77
2020-05-13,CA,78,1.0075690894122,1.00754547802208,0.925835378405771,1.08186739448441,1474.76957506267,2044.44769238225,2247.38044407786,1759,32222,32222,1759,87
2020-05-14,CA,79,1.01177155401877,1.01038319341956,0.93652957083685,1.08853931178065,1474.05036945153,2002.92886227688,2132.24946411724,2023,39059,39059,2023,98
2020-05-15,CA,80,1.01414793607747,1.01351456374315,0.943935503498096,1.09296370819013,1475.16375288348,1965.55807723708,2493.60044301993,1772,29255,29255,1772,76
2020-05-16,CA,81,1.01693726932924,1.01646678867443,0.947097750261806,1.09243315222863,1477.80085218008,1932.17413592922,1690.61452941548,1857,45220,45220,1857,96
2020-05-17,CA,82,1.02150129660613,1.02036069181754,0.946767005099324,1.09039756397958,1481.35887406825,1902.61037382067,1500.9783739608,2046,56117,56117,2046,57
2020-05-18,CA,83,1.02424611145452,1.02292055400055,0.952755571217381,1.10053882963844,1485.61273644359,1876.70383766598,1140.51808685617,1591,57429,57429,1591,41
2020-05-19,CA,84,1.02730719960675,1.02917074260434,0.951816275287687,1.1030117069806,1490.87591453463,1854.26698513456,1204.75882438224,1365,46644,46644,1365,32
2020-05-20,CA,85,1.02965471683534,1.02857130101157,0.947885177418276,1.10596906937379,1497.21008925268,1835.0956131015,2282.19691000893,2262,40804,40804,2262,102
2020-05-21,CA,86,1.0311114515345,1.02980436003049,0.953887359759582,1.11080618902783,1504.45773184473,1818.99781927792,2148.41920750596,2140,41007,41007,2140,106
2020-05-22,CA,87,1.03423023062054,1.03059977311646,0.951176570219062,1.1047481081085,1512.47972761429,1805.782432952,2026.57927889206,2247,45646,45646,2247,88
2020-05-23,CA,88,1.03694241088,1.03388764092761,0.953242811216471,1.11191338662748,1521.10847771061,1795.22903026135,1855.13234206656,2187,48533,48533,2187,78
2020-05-24,CA,89,1.04063969943432,1.04043440215825,0.973279482102791,1.13412399892113,1530.47495083559,1787.09067879269,1269.13148631049,2079,67439,67439,2079,66
2020-05-25,CA,90,1.04339611306877,1.04263555801645,0.962152018083905,1.12610618651266,1540.74409565758,1781.14565026797,1239.94123000064,1848,61357,61357,1848,21
2020-05-26,CA,91,1.04668462164356,1.04364971461028,0.964385056280066,1.13229093467729,1552.0118411482,1777.21284126578,1712.26370130719,2175,52294,52294,2175,19
2020-05-27,CA,92,1.0502992655554,1.04767905604078,0.95441334541155,1.12039570195613,1564.29172003187,1775.13400181417,2284.1927444394,2247,40498,40498,2247,70
2020-05-28,CA,93,1.05461029791221,1.05511755611736,0.966578886737826,1.13056938522153,1577.6037359502,1774.75845891342,2084.30733098853,2717,53665,53665,2717,89
2020-05-29,CA,94,1.06020269719297,1.05631811914483,0.965173853616672,1.12713195201366,1592.09269807284,1775.93855909383,2006.22174620411,2189,44919,44919,2189,95
2020-05-30,CA,95,1.06457521694214,1.06553619861671,0.979961099558326,1.13572175359681,1608.00190449205,1778.55098503059,2318.94955849583,2992,53117,53117,2992,88
2020-05-31,CA,96,1.06860576369144,1.06408204310093,0.988306998494225,1.15021438384472,1625.65448017177,1782.50742664273,2711.47606473108,3705,56253,56253,3705,57
2020-06-01,CA,97,1.07357710080198,1.07138234439319,0.9995871960807,1.15803211566892,1645.0770262711,1787.7488334003,1472.66352497565,2423,67735,67735,2423,38
2020-06-02,CA,98,1.07868460215819,1.0761972464575,0.993254541227553,1.15101400530051,1666.07445375986,1794.23802207436,1607.44022133876,2304,59008,59008,2304,35
2020-06-03,CA,99,1.0865968601451,1.08632376256647,0.991136361918249,1.15118924072029,1688.71983681807,1801.95681641056,1639.06538497261,2377,59703,59703,2377,75
2020-06-04,CA,100,1.09303961365141,1.09285429846367,1.01161825266502,1.16602402903801,1713.24605510474,1810.90616008358,1698.75352472767,2120,51377,51377,2120,61
2020-06-05,CA,101,1.09941248178762,1.09812388802839,1.0208202117963,1.18679385181779,1740.21108178132,1821.11697248779,2283.03006470761,3094,55792,55792,3094,63
2020-06-06,CA,102,1.10402666411797,1.10071890508497,1.0060196782775,1.1708184918658,1769.8767289433,1832.66025443499,1836.26656790159,3115,69837,69837,3115,74
2020-06-07,CA,103,1.10905759074489,1.10844639270369,1.0295449340751,1.19256294177306,1802.12393579296,1845.62727941948,2134.84645195372,2796,53918,53918,2796,67
2020-06-08,CA,104,1.11512846449591,1.1132876082577,1.03847100807192,1.19434922422792,1836.73349783327,1860.09904720002,1496.38989145932,2507,68972,68972,2507,27
2020-06-09,CA,105,1.12021269181725,1.11720481049385,1.02865877559143,1.19483344751595,1873.6558248912,1876.14872809315,1622.6550966414,2170,55055,55055,2170,44
2020-06-10,CA,106,1.1251940407387,1.12591520529416,1.04364118932746,1.21157473285213,1913.2198075011,1893.85921569683,2039.05977610401,2702,54553,54553,2702,79
2020-06-11,CA,107,1.12795114872302,1.12617906003688,1.0426053251561,1.21689318764791,1955.55728715436,1913.35498303116,2237.68474466946,3090,56849,56849,3090,105
2020-06-12,CA,108,1.13454031212345,1.13426256630627,1.04765096274578,1.22660152019871,2000.61839042768,1934.79752828873,1721.63916308062,2702,64611,64611,2702,62
2020-06-13,CA,109,1.13744105355967,1.1348435911395,1.03406066753044,1.21852293108042,2048.15151968628,1958.34879643812,2424.97929048402,3660,62135,62135,3660,46
2020-06-14,CA,110,1.14007916288064,1.13956332684116,1.0294659910429,1.22521864957462,2098.58346100097,1984.14056852654,1703.96345919,3212,77603,77603,3212,74
2020-06-15,CA,111,1.14206591581639,1.14136522828693,1.03493472239361,1.23875448916595,2151.97460040743,2012.27680426307,1615.35903822437,2597,66186,66186,2597,26
2020-06-16,CA,112,1.1465470498895,1.14489955285043,1.03468715000502,1.25888487064474,2207.86876495598,2042.86246045874,1247.36377443226,2108,69573,69573,2108,32
2020-06-17,CA,113,1.14722922597694,1.14225054787095,1.03669414558081,1.27593230163385,2266.14776472384,2076.00947455177,2361.43941927222,3455,60233,60233,3455,87
