state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
CA,2020-02-26,0,293.492767415204,115.619659197191,576.817704281198,0,0.0692635086516701,0.0165817060689818,0.176297036125113,2.3550605095628,1.45152643848206,3.50863393821532,1140.65391200394,329.226763540885,2674.96928012395
CA,2020-02-27,0,334.156170110542,137.679989568902,648.484090518586,0,0.0988984762505402,0.0239278950347137,0.249967451060187,2.35504355572455,1.45151412476895,3.50861753714776,1286.82424224515,400.855957479581,2903.62832716693
CA,2020-02-28,0,385.178172248179,163.713389067075,746.187932441872,0,0.134758224210659,0.0330993218153248,0.338170279980674,2.37523932909239,1.4652267904051,3.52943420043592,1456.71023901921,483.775615322698,3165.53129599491
CA,2020-02-29,0,440.132279691647,188.903633692361,856.510643112926,0,0.17741727479765,0.0443883364408645,0.442110388262125,2.36772637365466,1.46004213936632,3.52076784022424,1654.15042726107,585.350226917361,3494.27105556688
CA,2020-03-01,0,538.229722408518,275.632692489128,911.403740133487,0,0.227269755561637,0.0588347303517403,0.557650935397129,2.57096048653576,1.70134602150944,3.61119826577067,1883.57252143307,703.671168275571,3885.73345506524
CA,2020-03-02,6,644.24434078637,341.285791536727,1066.74115331128,0,0.284029197315599,0.0760858564416322,0.686797917284506,2.67642661889678,1.78117585546983,3.74101978067025,2154.2159116361,844.699143958088,4276.92646777726
CA,2020-03-03,4,760.143968768617,413.319486435449,1246.9588469432,0,0.34935466810435,0.0975128371662397,0.837617288214985,2.72129764973631,1.80951934678967,3.80189696880905,2484.44861461857,1032.89992569312,4746.70930876051
CA,2020-03-04,10,854.521743137533,477.81305893332,1392.4222118591,1,0.42305609904099,0.122907228108784,0.993501312074367,2.61404135936451,1.73513308049012,3.66116596071257,2889.2252169405,1277.78241604039,5369.37645090062
CA,2020-03-05,16,1015.97391096417,577.587761077803,1638.00789755119,0,0.506599618664718,0.154413253095055,1.16703500883672,2.64292281513477,1.75669587107905,3.70029709549681,3373.48617307812,1592.24734585066,6085.68689771766
CA,2020-03-06,8,1170.76854927161,658.148885391947,1880.95484386595,0,0.601035694467563,0.191245709384003,1.35493112241854,2.59059197283784,1.71567081573357,3.63438167590592,3938.80611584771,1976.7955862756,6819.56992869096
CA,2020-03-07,23,1354.84154928402,744.076540242777,2214.2235041794,0,0.707887220071546,0.236229243142674,1.54339702229941,2.54980765006512,1.68974545485689,3.59469792457516,4599.08352020646,2423.20626901244,7751.20993459953
CA,2020-03-08,16,1698.06468624813,1122.52749913498,2509.60262948359,0,0.829760280860418,0.293233640502535,1.75155119315522,2.76033721094368,1.95429359890465,3.72750782256762,5364.05048565255,2932.65273106124,8834.18617876238
CA,2020-03-09,6,2040.07311270241,1350.39928639916,3019.99290971049,0,0.969482438945452,0.363976527821074,1.97590366812399,2.82863851401759,2.01047299764032,3.80087578399525,6266.75273598862,3527.01000370446,10170.3743952849
CA,2020-03-10,40,2298.70663896937,1522.04377679395,3375.73244149426,1,1.13033341923515,0.44991870271293,2.24815768571852,2.69941044533731,1.92189855932097,3.6386650054624,7371.52229122165,4305.30676223594,11705.8303968052
