cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
5857.69,38.5,176.98,86354.14,125,1212.62,659.87,5,2,270.9,643.62,15.66,2566.02,3859.18,1308.49,2,,6984.7,2566.02,2365.79,53541.75,1139.1,91.39,53.39,18.49,30,1,27347.71,8,142252,4183.24,,2020-05-20,1-2
5947.67,36.62,175.71,87664.44,120.62,1141.38,662.47,5,2,268.04,644.06,14.94,2582.69,3870.43,1312.09,2,,6922.46,2582.69,2381.12,53664.56,1125.4,91.67,52.67,17.34,30,1,27453.11,8,144826.41,4237.08,,2020-05-21,1-2
6036.55,34.88,174.61,88978.35,116.32,1074.73,665.23,5,2,265.58,644.63,14.27,2598.31,3882.4,1315.73,2,,6866.49,2598.31,2395.75,53783.03,1112.52,91.99,51.99,16.27,30,1,27565.26,8,147417.02,4290.21,,2020-05-22,1-2
6124.39,33.27,173.65,90295.92,112.1,1012.39,668.11,5,2,258.24,645.3,13.63,2612.62,3895.11,1319.39,2,,6816.28,2612.62,2409.73,53897.23,1100.46,92.35,51.36,15.28,30,1,27682.41,8,150022.6,4342.69,,2020-05-23,1-2
6211.23,31.75,172.83,91617.12,107.99,954.09,671.05,5,2,246.77,646.02,13.03,2625.42,3908.53,1323.02,2,,6771.34,2625.42,2423.08,54007.27,1089.2,92.75,50.78,14.36,30,1,27802.72,8,152641.72,4394.56,,2020-05-24,1-2
6297.14,30.33,172.12,92941.99,103.98,899.55,674.01,5,2,235.92,646.76,12.46,2636.58,3922.59,1326.65,2,,6731.21,2636.58,2435.85,54113.24,1078.75,93.19,50.24,13.51,30,1,27924.44,8,155272.96,4445.87,,2020-05-25,1-2
6382.18,29.03,171.52,94271.14,102.97,848.94,676.95,5,2,225.67,647.73,11.92,2646.9,3937.17,1332.27,2,,6695.5,2646.9,2448.06,54216.03,1069.07,93.68,49.74,12.73,30,1,28045.99,8,157914.61,4496.66,,2020-05-26,1-2
6466.4,27.94,171.04,95609.22,106.28,801.67,679.93,5,2,215.99,651.03,11.41,2663.97,3952.2,1344.79,2,,6664.76,2663.97,2459.75,54320.55,1060.12,94.21,49.28,12,30,1,28169.59,8,160569.07,4546.97,,2020-05-27,1-2
6549.88,27.1,170.81,96964.3,113.09,757.28,683.26,5,2,206.87,659.91,10.93,2699.25,3967.76,1366.38,2,,6642.28,2699.25,2470.95,54430,1051.97,94.8,48.87,11.32,30,1,28307.15,8,163248.84,4596.87,,2020-05-28,1-2
6632.67,26.61,171.01,98345.62,123.7,716.19,687.52,5,2,198.3,676.67,10.49,2760.45,3984.36,1397.7,2,,6633.81,2760.45,2481.69,54548.21,1044.79,95.48,48.53,10.7,30,1,28479.22,8,165976.37,4646.41,,2020-05-29,1-2
6714.89,26.53,171.88,99763.05,136.76,678.47,693.33,5,2,190.3,702.44,10.07,2850.02,4002.97,1437.95,2,,6646.04,2850.02,2492.01,54678.32,1038.91,96.28,48.3,10.13,30,1,28709.7,8,168779.28,4695.7,,2020-05-30,1-2
6796.66,26.85,173.6,101223.96,151.21,644.22,701.27,5,2,182.9,737.41,9.7,2966.2,4025.01,1484.52,2,,6685.54,2966.2,2501.93,54822.24,1034.79,97.25,48.2,9.63,30,1,29021.01,8,171685.73,4744.88,,2020-05-31,1-2
6878.13,27.55,176.36,102733.9,166.39,613.5,711.76,5,2,176.12,781.37,9.36,3104.6,4052.1,1535.91,2,,6757.81,3104.6,2511.5,54981,1032.95,98.45,48.27,9.2,30,1,29430.09,8,174719.94,4794.11,,2020-06-01,1-2
6959.52,28.6,180.29,104294.37,181.94,586.36,725.05,5,2,170.02,831.95,9.06,3259.34,4085.9,1583.8,2,,6867.5,3259.34,2520.74,55155.15,1033.96,99.93,48.55,8.83,30,1,29947.66,8,177901.11,4843.61,,2020-06-02,1-2
7041.08,29.96,185.44,105900.08,197.71,562.79,741.18,5,2,164.62,889.88,8.8,3423.7,4127.97,1627.83,2,,7017.21,3423.7,2529.72,55344.96,1038.36,101.75,49.07,8.52,30,1,30577.48,8,181242.25,4893.62,,2020-06-03,1-2
7123.11,31.57,191.86,107550.9,213.71,542.75,759.99,5,2,159.98,953.44,8.59,3590.61,4179.53,1675.45,2,,7208.84,3590.61,2538.46,55550.65,1046.64,103.97,49.85,8.28,30,1,31316.39,8,184749.5,4944.41,,2020-06-04,1-2
7205.96,33.42,199.57,109252.31,229.99,526.16,781.17,5,2,156.14,1021.82,8.42,3752.86,4241.44,1727.07,2,,7443.12,3752.86,2547.02,55772.48,1059.23,106.64,50.92,8.1,30,1,32154.48,8,188421.89,4996.3,,2020-06-05,1-2
7290,35.47,208.53,111002.97,246.67,512.94,804.2,5,2,153.13,1095.01,8.31,3903.32,4314.01,1773.82,2,,7719.93,3903.32,2555.45,56010.77,1076.48,109.81,52.3,7.98,30,1,33075.4,8,192251.22,5049.6,,2020-06-06,1-2
7375.69,37.71,218.73,112802.04,263.86,502.96,828.46,5,2,150.97,1171.56,8.1,4035.33,4396.99,1825.98,2,,8038.96,4035.33,2563.8,56265.99,1098.66,113.53,53.99,7.91,30,1,34057.48,8,196222.31,5104.67,,2020-06-07,1-2
7463.49,40.12,230.12,114655.73,281.71,496.12,853.19,5,2,144.39,1251.67,7.8,4143.4,4489.49,1881.66,2,,8399.08,4143.4,2572.12,56538.72,1125.96,117.83,56.01,7.91,30,1,35074.79,8,200313.83,5161.88,,2020-06-08,1-2
