state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
GA,2020-03-01,0,490.67410439223,220.889707908913,920.267671237316,0,0.131115012024059,0.0369078755283957,0.318305088106382,2.69325580746961,1.7278249415062,3.82889695471009,1620.97338155222,593.470648935757,3396.00629357659
GA,2020-03-02,0,535.303832534088,243.091665536009,993.060713828364,0,0.173488203262511,0.0498256605900752,0.415565742016152,2.50158283492273,1.58482026454716,3.60638590563195,1889.74220047241,729.360279955057,3820.8444993717
GA,2020-03-03,2,664.661453766626,355.971615621191,1103.04521764657,0,0.223696655678111,0.0656667717557245,0.529036846161956,2.6947611770785,1.80834580881685,3.72382223644587,2203.08746204566,896.558781981912,4316.62414263744
GA,2020-03-04,0,700.664032423775,387.624588864588,1145.70807856238,0,0.281870805644121,0.085479119261212,0.663765356044709,2.43557258033432,1.61464887047877,3.39278578278908,2562.61742697204,1102.35720234055,4932.09809377049
GA,2020-03-05,0,801.718336919926,457.816415106239,1304.51908190529,0,0.350112472166969,0.110350252152638,0.808562648875043,2.38658633499256,1.57949923671309,3.33725437067689,2976.8354538427,1352.64735281557,5575.65208112786
GA,2020-03-06,1,1003.44476380892,585.477699277089,1615.07476595344,0,0.428687152226701,0.140807983395297,0.973965745508403,2.57085387289026,1.708195763558,3.5668590652152,3434.10524138887,1652.87751863465,6212.64724815471
GA,2020-03-07,3,1216.63827022136,719.178245689686,1937.04008361509,0,0.519446616764846,0.177003091533902,1.15814658652611,2.68919904930407,1.80354607658231,3.71785848469468,3953.84882006774,2010.25469932332,6932.51545372554
GA,2020-03-08,0,1364.20605527127,796.796083574823,2196.92842556174,0,0.62367837116362,0.221882691295652,1.35475649602653,2.58574770855605,1.72697118843408,3.58423344643999,4582.40919117122,2415.33806637755,7762.26912733182
GA,2020-03-09,4,1633.79752579473,933.187300747242,2650.61212208242,0,0.742847936325265,0.275523668900521,1.55499538288313,2.6380045179863,1.76522038788605,3.65450711019435,5343.93852480179,2938.10621174399,8834.61567797234
GA,2020-03-10,7,1842.19692690142,1215.61655173217,2673.37774401338,0,0.87968064179682,0.343559958623687,1.78131391691799,2.5663843809711,1.81923456036602,3.42239293701096,6243.81050996211,3545.97198589766,10151.7906933893
GA,2020-03-11,6,2168.3610351294,1436.66583263839,3144.78784903268,0,1.03714481450822,0.426374206569012,2.05856326174973,2.57673874282991,1.83097945840196,3.43586134051521,7299.34363035755,4268.49298340318,11646.7326249421
GA,2020-03-12,8,2792.09405627091,1843.72224285474,4040.70168818268,1,1.21832283213826,0.523857459496532,2.35170431876629,2.82959904148093,2.03064079452933,3.73237909947683,8517.90924483965,5161.42981598387,13218.6915964086
GA,2020-03-13,11,3222.83082170845,2099.3667933411,4662.97391534891,0,1.42746045096734,0.643708738865785,2.69132633193832,2.77742120576315,1.99084772410493,3.67257360702003,9972.80588119918,6181.73764892989,15144.9498838506
GA,2020-03-14,24,3529.28799115037,2265.51387330318,5222.45674362755,0,1.66947161242201,0.79346196953943,3.02967689486479,2.5662832572746,1.82255357462346,3.42619348549285,11768.2918332916,7488.55953029551,17614.8002389742
GA,2020-03-15,33,3623.2771308587,2253.4205285821,5456.99111420029,0,1.95093329631765,0.97759115333341,3.43875212945878,2.2227189358679,1.54596993905678,3.02086576908562,13890.3029168961,9099.72506751648,20479.0680247165
GA,2020-03-16,22,4243.94002997075,2532.08116620825,6580.61469760422,0,2.27839618193152,1.20033200747512,3.90093857174125,2.21842359915604,1.54133659336624,3.01944975730918,16220.3189817601,10772.3935488141,23521.8875169943
GA,2020-03-17,25,4217.769414175,2932.37107394428,5860.35690387526,0,2.66149764588374,1.47202227063738,4.43376395676796,1.93596274198815,1.40327308871213,2.53410394112329,18668.7377991122,12293.7400231584,26995.2019555225
GA,2020-03-18,53,4380.46833982959,3004.00943714472,6126.26802808263,2,3.10817332700792,1.788939030381,5.01283767651434,1.76825169057601,1.27611391642152,2.33506183294739,21221.9274650738,13997.2819222462,30569.0561150878
GA,2020-03-19,88,4822.12483210794,3231.5379399989,6882.4094139787,7,3.62995106943849,2.17932167654844,5.67420326263309,1.73681136376538,1.24945416276942,2.30154012633309,23729.6166031272,15825.4265586429,33950.5992717357
GA,2020-03-20,133,5132.49699805177,3369.91896521246,7511.35411896807,3,4.2347856122481,2.63777522389019,6.42353983256721,1.67191546377244,1.19586441278387,2.22308042558619,26159.7702363555,17752.8500655946,37154.2819862752
GA,2020-03-21,87,5852.42400932882,3731.6202445177,8749.99143193388,1,4.93101085070932,3.1947785823937,7.3060306612288,1.73832828172588,1.24942738824529,2.29711019489055,28577.8066015289,19670.1348911981,40127.2120666536
GA,2020-03-22,114,5130.15914134582,3097.30692290472,7913.63970476738,11,5.72405924690602,3.79190836972112,8.31146263761813,1.39792838547588,0.974283494376758,1.9197916716491,31074.8240378874,21513.4242054598,43336.5266822385
