county,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed,totdea_mean_smoothed,totdea_lower_smoothed,totdea_upper_smoothed,mobility_data_type,mobility_composite,total_tests_data_type,total_tests,confirmed_infections,est_infections_mean,est_infections_lower,est_infections_upper
Georgia,2020-06-02,1045.8,952,1157.5,286.1,267.5,306.5,253.5,237,271.5,135.2,89.5,190,36.6,28.5,45.5,0,0,0,0,0,0,8,8,8,2102,2102,2102,27.2808125018998,27.2808125018998,27.2808125018998,2044.21323183273,2044.21323183273,2044.21323183273,projected,-24.2620350277368,projected,20240.6303047004,304.999999999956,3964.92437834294,2427.5837653718,6501.99982448765
Georgia,2020-06-03,1044.3,934.5,1174,286.1,262.5,310.5,253.5,233.5,275.5,135.2,90,189.5,36.6,28,46,0,0,0,0,0,0,21,21,21,2123,2123,2123,27.2565468777202,27.2565468777202,27.2565468777202,2071.46977871045,2071.46977871045,2071.46977871045,projected,-24.2620350277368,projected,20462.9919555727,686.999999999905,3956.8205862692,2409.95148022715,6528.72253116094
Georgia,2020-06-04,1044,911.5,1203,286,259,315.5,253.4,229,280.5,135.6,88,201,36.5,27.5,47,0,0,0,0,0,0,26,26,26,2149,2149,2149,27.2323028372298,27.2323028372298,27.2323028372298,2098.70208154768,2098.70208154768,2098.70208154768,projected,-24.2620350277368,projected,20685.3536064449,965.000000000189,3926.44892802709,2403.22206030199,6463.2471495532
Georgia,2020-06-05,1043.2,873.5,1250.1,286,250.5,326,253.3,220.5,291.5,134.4,85.5,198.1,36.4,25.5,50,0,0,0,0,0,0,25,25,25,2174,2174,2174,27.2080803612303,27.2080803612303,27.2080803612303,2125.91016190891,2125.91016190891,2125.91016190891,projected,-24.2620350277368,projected,20907.7152573172,761.999999999978,3894.09828111465,2378.16948728319,6395.72460063039
Georgia,2020-06-06,1042.2,842,1290.7,285.9,242,338.5,253.3,210.5,303.5,134.1,84.5,199,36.5,25.5,51,0,0,0,0,0,0,4,4,4,2178,2178,2178,27.1838794305199,27.1838794305199,27.1838794305199,2153.09404133943,2153.09404133943,2153.09404133943,projected,-24.2620350277368,projected,21130.0769081894,737.999999999709,3858.10024249282,2368.95470462539,6255.71412774739
Georgia,2020-06-07,1042.8,804.3,1348.1,286.2,230,352.5,253.5,200,317,136.2,80.5,209.1,36.7,24,54.5,0,0,0,0,0,0,27.1022874803903,20.4646379720498,34.3781363623378,2180.19632881982,2173.55867931148,2187.47217770177,27.1022874803903,20.4646379720498,34.3781363623378,2180.19632881982,2173.55867931148,2187.47217770177,projected,-24.2620350277368,projected,21352.4385590617,,3821.86032095848,2358.1887242855,6201.06167465076
Georgia,2020-06-08,1044.8,760,1386,286.2,225,359.6,253.4,196,326,137.2,82.5,214.5,36.7,23.5,53.5,0,0,0,0,0,0,27.0179772601747,20.0791582152768,34.9328249231843,2207.21430607999,2193.4124535398,2222.20059916131,27.0179772601747,20.0791582152768,34.9328249231843,2207.21430607999,2193.4124535398,2222.20059916131,projected,-24.2620350277368,projected,21574.800209934,,3786.30004994497,2348.85397709925,6124.52871849015
Georgia,2020-06-09,1048.7,752.8,1431.1,286.9,219,373,254.2,192,336,138.9,79,220,37.3,23.5,55.5,0,0,0,0,0,0,26.9363335659674,19.4385477517285,35.6728765910297,2234.15063964596,2213.37951916969,2257.89251218864,26.9363335659674,19.4385477517285,35.6728765910297,2234.15063964596,2213.37951916969,2257.89251218864,projected,-24.2620350277368,projected,21797.1618608062,,3751.83110749948,2324.17866635402,6027.20980603415
Georgia,2020-06-10,1055.4,743.5,1472.6,288.5,216,385,255.7,189,348,141.8,79.5,237,37.9,23.5,58.5,0,0,0,0,0,0,26.8871182632072,19.1190300621992,36.347919969269,2261.03775790917,2231.95532212537,2294.36133623974,26.8871182632072,19.1190300621992,36.347919969269,2261.03775790917,2231.95532212537,2294.36133623974,projected,-24.1207715620915,projected,22019.5235116785,,3721.04103760869,2307.90335985459,5974.72933020252
Georgia,2020-06-11,1064.3,729.5,1515.1,290.8,213.5,399,257.9,187,357.1,144.2,78.5,242.5,38.7,23.5,61,0,0,0,0,0,0,26.9025050141152,18.6697140533793,37.7917377381794,2287.94026292328,2250.55596051076,2331.30236851926,26.9025050141152,18.6697140533793,37.7917377381794,2287.94026292328,2250.55596051076,2331.30236851926,projected,-23.9758481661864,projected,22241.8851625507,,3693.35496939302,2289.32735326216,5931.12949255803
Georgia,2020-06-12,1078.5,718,1579.8,293.6,209,410.5,260.7,184.5,371.5,148.8,79,250.1,39.4,23,63.5,0,0,0,0,0,0,27.0303525862294,18.2926854687326,38.8252764094068,2314.97061550951,2268.74385839719,2368.74990563584,27.0303525862294,18.2926854687326,38.8252764094068,2314.97061550951,2268.74385839719,2368.74990563584,projected,-23.8275641895078,projected,22464.246813423,,3661.8329462611,2256.96263342225,5911.2181708375
Georgia,2020-06-13,1095.6,710,1659.2,297.2,207.5,424.6,264.2,182,383,151.4,77.5,261,40.1,23,66,0,0,0,0,0,0,27.3083064282268,17.8911630313807,40.1464230998305,2342.27892193774,2287.45717485694,2408.32016188873,27.3083064282268,17.8911630313807,40.1464230998305,2342.27892193774,2287.45717485694,2408.32016188873,projected,-23.6762216931709,projected,22686.6084642952,,3628.73729267986,2223.94559203642,5902.38707788857
Georgia,2020-06-14,1113,698.5,1731.3,301.2,202.5,445.5,268,178,403,153.7,77,277.5,40.9,23,71.5,0,0,0,0,0,0,27.7441801300672,17.8875439653071,41.5558514527797,2370.02310206781,2305.69018419644,2451.1303056207,27.7441801300672,17.8875439653071,41.5558514527797,2370.02310206781,2305.69018419644,2451.1303056207,projected,-23.5221176646238,projected,22908.9701151675,,3596.96267069579,2192.1170348899,5881.50962890526
Georgia,2020-06-15,1132.5,691.5,1807.7,305.6,198.5,468.5,272.2,176,421.5,156.7,79,297.6,41.6,23,72,0,0,0,0,0,0,28.2935727010316,17.9210941594943,43.8230664047853,2398.31667476884,2324.01083923873,2494.75295300562,28.2935727010316,17.9210941594943,43.8230664047853,2398.31667476884,2324.01083923873,2494.75295300562,projected,-23.3654938999718,projected,23131.3317660397,,3564.02177591222,2174.07076165997,5868.9893338074
Georgia,2020-06-16,1152,684,1898.9,310,196,492.1,276.3,174.4,443,158.7,79,307.7,42.3,22.5,76.5,0,0,0,0,0,0,28.8975445849063,17.8896672135592,45.9974206072401,2427.21421935375,2342.52946134243,2537.99392118715,28.8975445849063,17.8896672135592,45.9974206072401,2427.21421935375,2342.52946134243,2537.99392118715,projected,-23.2065843869021,projected,23353.693416912,,3530.14283586202,2141.28604725911,5861.43306363015
Georgia,2020-06-17,1169.5,684.5,1984.3,314.5,192,514.5,280.4,169.5,462.1,159.5,79,314.6,43,23,79,0,0,0,0,0,0,29.5239744347084,17.8997880122464,48.3005941853818,2456.73819378845,2360.44426205207,2585.32566680356,29.5239744347084,17.8997880122464,48.3005941853818,2456.73819378845,2360.44426205207,2585.32566680356,projected,-23.0456310544566,projected,23576.0550677843,,3498.40758488599,2110.09543958809,5836.34404338989
Georgia,2020-06-18,1188.7,690.8,2072.2,318.9,192.9,537.6,284.4,169.5,484.5,163.4,79,323.9,43.4,22.5,85.5,0,0,0,0,0,0,30.1487215589908,17.910657667222,50.3290347887143,2486.88691534745,2379.7309139036,2635.80773677916,30.1487215589908,17.910657667222,50.3290347887143,2486.88691534745,2379.7309139036,2635.80773677916,projected,-22.8828832780996,projected,23798.4167186565,,3469.46830225279,2080.77543510417,5818.30375714214
