date,region,index,mean,median,lower_80,upper_80,infections,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,new_tests,new_cases,new_deaths
2020-03-23,GA,26,1.49408109119628,1.49020901256292,1.3841263373936,1.59574373250993,726.706178684923,279.422270057957,326.737276814769,172,1049,1049,172,2
2020-03-24,GA,27,1.42512517798171,1.42454261541184,1.30642135270773,1.51004356369731,799.366275009849,326.468532554905,482.50737390088,254,415,415,254,7
2020-03-25,GA,28,1.36441916222166,1.36551530187011,1.26587124498628,1.47052736386486,870.124278533292,378.27510252713,419.819408000372,221,695,695,221,8
2020-03-26,GA,29,1.30366503388245,1.30019458061009,1.20277131564613,1.39339255066264,937.33606826888,434.535761569124,528.098621828522,278,2747,2747,278,8
2020-03-27,GA,30,1.24591793830079,1.24138064684387,1.15344768429252,1.33604469751912,1000.15944465076,494.823496276455,904.226417231571,476,939,939,476,16
2020-03-28,GA,31,1.19609679796784,1.19408346015333,1.10989146360702,1.2758164839242,1057.39962108778,558.466076025871,693.366895566226,365,1186,1186,365,5
2020-03-29,GA,32,1.14800508242544,1.1482914573106,1.04493223030785,1.21933448580958,1107.64162307028,624.633336470265,541.396069140751,285,1513,1513,285,11
2020-03-30,GA,33,1.10469024681463,1.10573946926683,1.01527334490807,1.17890844595722,1150.23138549639,692.361080089357,300.142382190311,158,160,160,158,7
2020-03-31,GA,34,1.06195735927139,1.06154787769829,0.981911337492771,1.1416224126524,1184.71530038966,760.631022921243,1944.25065914088,1120,3457,3457,1120,24
2020-04-01,GA,35,1.02330862495249,1.01965286587798,0.940307647878415,1.0963284590096,1210.6974675228,828.321368232406,1026.49139255834,709,4145,4145,709,28
2020-04-02,GA,36,0.990104785435143,0.988372785700988,0.91296531372981,1.05603593386358,1227.84309315972,894.309707595791,1348.74108452608,710,2631,2631,710,24
2020-04-03,GA,37,0.959694105691525,0.96000984572396,0.884669217350886,1.02754895671031,1236.09685212953,957.489344886427,917.5238645438,483,2308,2308,483,21
2020-04-04,GA,38,0.93056828942763,0.928650922084312,0.855248400237995,1.00507865389287,1236.06139837538,1016.83193457816,624.980023674762,329,1029,1029,329,17
2020-04-05,GA,39,0.907148637998596,0.906395125265082,0.831316120894119,0.971281537269726,1228.49041929908,1071.3809360103,925.122405865073,487,1538,1538,487,10
2020-04-06,GA,40,0.885689160284376,0.885045481934656,0.806345486443654,0.944139228432954,1213.94177065526,1120.290767234,1162.91662618535,667,3442,3442,667,18
2020-04-07,GA,41,0.867899989673423,0.867242924291445,0.785659911702236,0.929487058223564,1193.32889888693,1162.84825654097,2857.05153679891,1504,2439,2439,1504,100
2020-04-08,GA,42,0.84761873426377,0.846324994689117,0.780004581968304,0.919668637621935,1167.69641031127,1198.56401813423,1280.88932276028,1083,5074,5074,1083,33
2020-04-09,GA,43,0.832855327030166,0.833089463243055,0.764421492402764,0.90642511709311,1137.98915310712,1227.11009935081,1263.25749466175,665,2298,2298,665,17
2020-04-10,GA,44,0.821016596398787,0.81954145202169,0.75611976356591,0.887049100316048,1104.63344484899,1248.34451492594,1087.12831298542,917,5062,5062,917,37
2020-04-11,GA,45,0.811000747526666,0.810636111490476,0.739405769695994,0.872405100191681,1068.3274713629,1262.304065241,728.586434820051,676,5568,5568,676,12
2020-04-12,GA,46,0.802305813361806,0.798882258078335,0.728990771440739,0.857871178821649,1030.22253855044,1269.21468554086,556.593151783299,293,2738,2738,293,5
2020-04-13,GA,47,0.794087895292793,0.793235705614385,0.722381741257936,0.839960945433941,991.171234129972,1269.40192148474,1639.3852900648,863,2568,2568,863,31
2020-04-14,GA,48,0.787187867604294,0.781603025853678,0.723533335672081,0.853017257681071,951.670540707061,1263.28259369283,1141.39783799416,908,4774,4774,908,37
2020-04-15,GA,49,0.781393876699738,0.77789373612046,0.712522401675318,0.833968177462576,912.018460024392,1251.37631044968,1451.32139236328,764,2295,2295,764,51
2020-04-16,GA,50,0.778254554989812,0.775368704495401,0.72033009552212,0.840079846002641,872.504976633823,1234.28534152004,1063.33491735778,682,3849,3849,682,35
2020-04-17,GA,51,0.776455047537825,0.773618206119392,0.716410203939124,0.840685850244272,833.462076394766,1212.66325840802,2443.72107004369,1525,3745,3745,1525,63
2020-04-18,GA,52,0.775605672208985,0.7708332326818,0.706236791083536,0.833117888631032,795.325323548804,1187.15735580585,902.326781901252,475,2524,2524,475,23
2020-04-19,GA,53,0.775560176724669,0.772353177416684,0.709170346083823,0.834410195085132,758.478019072635,1158.39468955661,662.483702761511,632,5725,5725,632,14
2020-04-20,GA,54,0.777347787103304,0.775678317829124,0.717409154794466,0.840275580526719,723.137107743274,1126.96321493669,882.078527853874,646,4395,4395,646,46
2020-04-21,GA,55,0.780905628819403,0.780572378529516,0.712750831030436,0.840500759368158,689.405785327971,1093.44183054365,1470.37325966851,934,3812,3812,934,66
2020-04-22,GA,56,0.784497036776312,0.781570957452917,0.712748898987493,0.839020476448757,657.42118845891,1058.37562405154,869.011719142899,859,5932,5932,859,37
2020-04-23,GA,57,0.789656694741617,0.785808906577516,0.716762788207112,0.836050154066515,627.324293667821,1022.27122708084,662.786625806996,772,6990,6990,772,36
2020-04-24,GA,58,0.795369913658282,0.794413421638701,0.738905292728616,0.860287721096606,599.116152839336,985.598867076135,623.278150511233,635,6114,6114,635,20
2020-04-25,GA,59,0.80307787096376,0.801707383815861,0.730941160980363,0.853037933597907,572.762850418164,948.772022733215,277.802298417038,548,11838,11838,548,12
2020-04-26,GA,60,0.808405297240965,0.804154820157095,0.742944097622566,0.868979208549405,548.250621593581,912.162044546309,1006.60570402431,706,4209,4209,706,8
2020-04-27,GA,61,0.81560179880384,0.813217394106996,0.734728515285069,0.877344961154117,525.587454150988,876.091723468515,778.657537168925,512,3946,3946,512,59
2020-04-28,GA,62,0.824576331057001,0.823594640287598,0.751037373580218,0.886426067513988,504.614037584163,840.839077698357,327.818757789299,702,12851,12851,702,55
2020-04-29,GA,63,0.835222701464461,0.833734247763002,0.763936083755372,0.903908069976006,485.164788289935,806.618593092814,1465.44757315962,957,3919,3919,957,67
2020-04-30,GA,64,0.848292085776195,0.846187566276314,0.777694044571653,0.914891223829937,467.285845921818,773.62518917466,685.340536274478,583,5105,5105,583,27
2020-05-01,GA,65,0.863454297949328,0.858779562918297,0.801098468589161,0.939089126951928,451.063085510491,741.990708773791,346.285195817935,1115,19323,19323,1115,34
2020-05-02,GA,66,0.87816988533695,0.872970880663002,0.821680852241122,0.962055689425732,436.578378710032,711.804681655484,966.450946525923,1036,6433,6433,1036,20
2020-05-03,GA,67,0.890662928529958,0.88904919030273,0.817357014945548,0.957435524268181,423.891931651087,683.127845398222,562.292057774254,296,296,296,296,3
2020-05-04,GA,68,0.905557939424075,0.905385517862827,0.83845163764336,0.984626316435323,412.922705641642,656.008386598344,558.618506083224,766,8229,8229,766,45
2020-05-05,GA,69,0.922841264823133,0.920843078895416,0.848284924300903,0.991470799198949,403.433970075347,630.491633007637,117.233758081733,343,17558,17558,343,66
2020-05-06,GA,70,0.937439925152681,0.936029119454705,0.85665971646855,1.00577584937368,395.312162727023,606.622226481043,1816.57065225225,985,3254,3254,985,23
2020-05-07,GA,71,0.953765924779138,0.953472928532887,0.870483699414187,1.01913837423502,388.63716672652,584.434795111979,338.663642199806,743,13166,13166,743,25
2020-05-08,GA,72,0.973185166385112,0.971476631236616,0.89418746046391,1.03727899122931,383.350141731691,563.939724166208,389.980419654127,667,10264,10264,667,41
2020-05-09,GA,73,0.988967742164256,0.985809965733675,0.910011311822304,1.067186421874,379.362571167919,545.127211935371,329.571326037877,426,7757,7757,426,23
2020-05-10,GA,74,1.00577763358187,1.00517132262448,0.922257902672404,1.08165604349107,376.750767898304,527.982263024937,663.387378883148,909,8223,8223,909,5
2020-05-11,GA,75,1.02237269694177,1.02191035612282,0.933555654382614,1.09593704388641,375.452437833974,512.484804642775,376.766962200794,486,7741,7741,486,36
2020-05-12,GA,76,1.0356512163368,1.033350699451,0.95115241481959,1.11831897468982,375.355075808661,498.607475868011,390.120804717871,708,10891,10891,708,20
2020-05-13,GA,77,1.04647718497887,1.04113087352857,0.952707596850616,1.12573077705562,376.437656764995,486.325388005219,356.74142144906,697,11725,11725,697,44
2020-05-14,GA,78,1.05231017743445,1.05043788579427,0.968878789429165,1.14887120389731,378.582727830914,475.612508960874,263.555028243859,526,11977,11977,526,22
2020-05-15,GA,79,1.06262313764776,1.06150728133834,0.97053797838836,1.15202370598115,381.581159205105,466.436910306335,308.818642591344,823,15993,15993,823,30
2020-05-16,GA,80,1.07085668316468,1.06751943014031,0.976617087730872,1.15513394991758,385.181344792238,458.764935474749,145.690559778909,466,19195,19195,466,35
2020-05-17,GA,81,1.07444153858077,1.07370417928381,0.990957400663344,1.15871589855051,389.396302732558,452.555122115155,110.43082563253,554,30106,30106,554,14
2020-05-18,GA,82,1.08014182290095,1.0788748256868,0.99806825783031,1.16164469730167,394.306922157489,447.749751999648,173.892971584825,380,13114,13114,380,36
2020-05-19,GA,83,1.08287912306073,1.08369905429172,0.995433671574477,1.1664843173814,399.729652358452,444.269460474624,276.968940800874,640,13867,13867,640,22
2020-05-20,GA,84,1.08366362262779,1.08304970777449,0.994874444278387,1.16760961646801,405.561217448583,442.026405831814,224.219406152368,926,24784,24784,926,23
2020-05-21,GA,85,1.08316424057925,1.0814482172308,0.98128876546764,1.14752883331495,411.763296963428,440.939659623351,949.45994213792,758,4791,4791,758,67
2020-05-22,GA,86,1.08187746322053,1.07985662964934,1.00189176355793,1.16407256334153,418.197806145196,440.927581115862,249.970548787953,813,19518,19518,813,31
2020-05-23,GA,87,1.08203779375211,1.07528956596391,0.987908111538283,1.16151545910289,424.731919204164,441.90444442054,208.651860408406,914,26288,26288,914,26
2020-05-24,GA,88,1.08480767505739,1.08280329195987,1.00242025063191,1.1737284789803,431.279487527042,443.784291645682,149.093972208126,706,28417,28417,706,13
2020-05-25,GA,89,1.08617096497418,1.08590612228457,1.00098965294006,1.17962089892535,437.866535350063,446.477563683406,96.1215477141123,506,31591,31591,506,6
2020-05-26,GA,90,1.08614964128048,1.08645359142936,0.982505841030307,1.14859736560254,444.66372193821,449.890152862594,733.259237502912,386,1400,1400,386,41
2020-05-27,GA,91,1.08815674255692,1.08788962662344,0.9976053390584,1.17042801408508,451.744387543449,453.925120750129,1312.64801325003,691,0,-74189,691,36
2020-05-28,GA,92,1.09145677079563,1.09236055704008,1.00083789679593,1.17371190835442,459.017809841081,458.490210156474,1001.21813466165,649,3890,3890,649,55
2020-05-29,GA,93,1.09229302555753,1.09311968792415,1.01114115567176,1.18270205918644,466.496056835165,463.51638190199,640.121383680954,600,5625,5625,600,12
