state,date,constant_mobility_mean_time_varying_reproduction_number_R.t.,constant_mobility_time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..x,mobility_increase_20_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_20_time_varying_reproduction_number_R.t._Higher_CI_95,mobility_increase_20_mean_time_varying_reproduction_number_R.t..y,mobility_increase_40_time_varying_reproduction_number_R.t._lower_CI_95,mobility_increase_40_time_varying_reproduction_number_R.t._Higher_CI_95
GA,2020-06-29,1.08752647938911,0.812840833194826,1.28410535697936,1.25553339183292,0.977002998575061,1.42004966346338,1.40777491370877,1.10766909732441,1.57376017602068
GA,2020-06-30,1.06133136050293,0.796688123125567,1.24503646743806,1.2272174684069,0.956795151607217,1.38469692222908,1.3745953238581,1.06818847258824,1.54112643851824
GA,2020-07-01,1.06677416896632,0.802447830279509,1.24579320431953,1.22902970615942,0.962367153489409,1.38033224253831,1.36830968747312,1.06177930498314,1.53286097036266
GA,2020-07-02,1.28784536885635,0.966770076946044,1.52199895777225,1.42640774549854,1.12456927941675,1.61097778070148,1.52609691647843,1.15776231637991,1.69813403952639
GA,2020-07-03,1.16769689567023,0.879640769727937,1.36666458989978,1.31222086534456,1.03169355840769,1.47417400479619,1.41883085452616,1.04988638330058,1.58692444495554
GA,2020-07-04,0.749799109935829,0.549882935607363,0.928565783886077,0.914631619714038,0.689378355151782,1.10182210285028,1.06543178177147,0.761256072995301,1.29491819229086
GA,2020-07-05,1.02988801391936,0.781041153161427,1.18951310004049,1.18039917695506,0.930028048550368,1.31772601145528,1.29254883737297,0.90633097869089,1.45837415435895
GA,2020-07-06,1.00603666221079,0.762861309550482,1.15902672565215,1.15425601002815,0.907945473340776,1.29043631611019,1.26106332926383,0.863282191849221,1.43077621342178
GA,2020-07-07,1.0699002632703,0.811578259163216,1.22748919953072,1.20981054965658,0.951698134232648,1.34123821438499,1.29960577641082,0.857377268470327,1.46367516229082
GA,2020-07-08,1.04381475012994,0.794795870855732,1.19122954008527,1.18118974465499,0.926117389252431,1.30958485478914,1.26536817025888,0.805301572643131,1.43493851093221
GA,2020-07-09,1.04886763120089,0.799904785445558,1.19385271003816,1.18169735013102,0.922612121114539,1.308091799546,1.25635735801025,0.76832106962761,1.42899868934734
GA,2020-07-10,1.26596272428517,0.96440442934232,1.46939347185068,1.37040271100217,1.06503572411749,1.53232384709335,1.3986903336495,0.813718643932502,1.59434744159487
GA,2020-07-11,1.14746680119361,0.87763889392087,1.31519481944922,1.25910984697557,0.970163146071203,1.40018127001591,1.29649155187911,0.73332942241632,1.49094787538136
GA,2020-07-12,0.736553868677637,0.548312524076609,0.897472378728084,0.876309067984293,0.649890635733524,1.04744138701848,0.969889484586184,0.547846870180489,1.20538739142078
GA,2020-07-13,1.01153004949252,0.777701257500456,1.14188718677853,1.13052520657537,0.85938144231405,1.25398158170409,1.17603921292963,0.630594000888041,1.37097401735696
GA,2020-07-14,0.98787765724386,0.75887086597883,1.11451122257327,1.10452481106983,0.834601765197627,1.22918111750428,1.14518262809927,0.598740222045404,1.34731993124011
GA,2020-07-15,1.05037361313862,0.808586995432844,1.18368071461174,1.15687489726328,0.857641114968113,1.28035658973924,1.17854889675732,0.60300184392597,1.3799163371706
GA,2020-07-16,1.024553716366,0.791442883387467,1.14915221737688,1.12861044444959,0.823587803558086,1.24980447871159,1.145610905739,0.572290762234507,1.35386734216886
GA,2020-07-17,1.02931996252123,0.795957105665449,1.15261220639295,1.12832159354807,0.809950369670793,1.25025058956133,1.13596738204479,0.554529752469464,1.34956933693627
GA,2020-07-18,1.24224414622586,0.96122220107142,1.42493495354409,1.30801885487775,0.912714203305197,1.47409307533407,1.26406741315248,0.592604681813174,1.51989532281476
GA,2020-07-19,1.12572510815614,0.870616927529104,1.2748470056042,1.20079539073078,0.832845648256531,1.34451711106343,1.16989346651005,0.545103344825512,1.414220751524
GA,2020-07-20,0.722427439198225,0.542779609927443,0.867292925035561,0.834802620214595,0.574965150715038,1.0055904048693,0.873087832753605,0.4102276433688,1.13417640725518
GA,2020-07-21,0.992053072766379,0.769069152392321,1.10617253773494,1.07698502965404,0.728466562309559,1.20235897686617,1.05937758454735,0.485200983718505,1.29839264008057
GA,2020-07-22,0.968743575267043,0.751354782642969,1.08017929054649,1.05175204382134,0.70249222947579,1.17983300155357,1.03102744577901,0.468429650150958,1.27676561726244
GA,2020-07-23,1.02993466006158,0.797241696986014,1.15061799678883,1.10130981175427,0.722969899328242,1.2310501805311,1.0610432986346,0.474638850601261,1.31353744198539
GA,2020-07-24,1.00452941190783,0.781516360489615,1.11484234856744,1.07403103603201,0.694587285952609,1.20393951084596,1.03113436637033,0.456611626305264,1.29131816342584
