model_team,pointNA,target_end_date
PSI.DRAFT,2179.5,2020-06-11
USACE.ERDC_SEIR,2020.17531936247,2020-06-11
UT.Mobility,2242.30027973002,2020-06-11
CU.80contact,2445,2020-06-11
Auquan.SEIR,2623,2020-06-11
CU.80contact1x10p,2248,2020-06-11
CU.80contact1x5p,2248,2020-06-11
CU.80contactw5p,2248,2020-06-11
CU.nochange,2249,2020-06-11
CU.select,2248,2020-06-11
Covid19Sim.Simulator,2202.81554835891,2020-06-11
CovidActNow.SEIR_CAN,,2020-06-11
Geneva.DeterministicGrowth,2254,2020-06-11
IowaStateLW.STEM,2305,2020-06-11
JHU_IDD.CovidSP,2315.13,2020-06-11
SWC.TerminusCM,2305,2020-06-11
UA.EpiCovDA,2284,2020-06-11
UCLA.SuEIR,2269.02954041008,2020-06-11
CU.80contactw10p,2345,2020-06-12
YYG.ParamSearch,2366.73515980544,2020-06-12
CU.80contact,2483,2020-06-12
LANL.GrowthRate,2301.30199337495,2020-06-12
MIT_CovidAnalytics.DELPHI,2270,2020-06-12
MOBS_NEU.GLEAM_COVID,2296.83464269895,2020-06-12
PSI.DRAFT,2206.5,2020-06-12
USACE.ERDC_SEIR,2038.73977889181,2020-06-12
UT.Mobility,2261.54570884547,2020-06-12
Auquan.SEIR,2716,2020-06-12
CU.80contact1x10p,2264,2020-06-12
CU.80contact1x5p,2264,2020-06-12
CU.80contactw5p,2262,2020-06-12
CU.nochange,2265,2020-06-12
CU.select,2264,2020-06-12
Covid19Sim.Simulator,2213.33539949473,2020-06-12
CovidActNow.SEIR_CAN,,2020-06-12
Geneva.DeterministicGrowth,2269,2020-06-12
IowaStateLW.STEM,2330,2020-06-12
JHU_IDD.CovidSP,2350.31666666667,2020-06-12
SWC.TerminusCM,2330,2020-06-12
UA.EpiCovDA,2306,2020-06-12
UCLA.SuEIR,2289.90378238416,2020-06-12
Auquan.SEIR,2802,2020-06-13
COVIDhub.ensemble,2315.59496810112,2020-06-13
CU.80contact1x10p,2278,2020-06-13
CU.80contact1x5p,2277,2020-06-13
CU.80contactw5p,2276,2020-06-13
CU.nochange,2277,2020-06-13
CU.select,2277,2020-06-13
Covid19Sim.Simulator,2223.75012286308,2020-06-13
CovidActNow.SEIR_CAN,,2020-06-13
GT_CHHS.COVID19,2383.333333,2020-06-13
Geneva.DeterministicGrowth,2283,2020-06-13
IHME.CurveFit,2342.27892193774,2020-06-13
IowaStateLW.STEM,2353,2020-06-13
JHU_IDD.CovidSP,2385.78666666667,2020-06-13
LANL.GrowthRate,2323.33454618532,2020-06-13
MIT_CovidAnalytics.DELPHI,2286,2020-06-13
MOBS_NEU.GLEAM_COVID,2315.32077806048,2020-06-13
PSI.DRAFT,2227,2020-06-13
SWC.TerminusCM,2355,2020-06-13
UA.EpiCovDA,2327,2020-06-13
UCLA.SuEIR,2310.2404371478,2020-06-13
UMass.MechBayes,2302,2020-06-13
USACE.ERDC_SEIR,2057.00558838239,2020-06-13
UT.Mobility,2279.40232931581,2020-06-13
CU.80contactw10p,2375,2020-06-13
CU.80contactw10p,2375,2020-06-13
GT.DeepCOVID,2408.8321,2020-06-13
YYG.ParamSearch,2394.42387828654,2020-06-13
CU.80contact,2509,2020-06-13
LANL.GrowthRate,2323.33454618532,2020-06-13
MIT_CovidAnalytics.DELPHI,2286,2020-06-13
MOBS_NEU.GLEAM_COVID,2315.32077806049,2020-06-13
PSI.DRAFT,2227,2020-06-13
USACE.ERDC_SEIR,2057.00558838239,2020-06-13
UT.Mobility,2279.40232931581,2020-06-13
CU.80contact,2509,2020-06-13
Auquan.SEIR,2802,2020-06-13
CU.80contact1x10p,2278,2020-06-13
CU.80contact1x5p,2277,2020-06-13
CU.80contactw5p,2276,2020-06-13
CU.nochange,2277,2020-06-13
CU.select,2277,2020-06-13
Covid19Sim.Simulator,2223.75012286308,2020-06-13
CovidActNow.SEIR_CAN,,2020-06-13
Geneva.DeterministicGrowth,2283,2020-06-13
IowaStateLW.STEM,2353,2020-06-13
JHU_IDD.CovidSP,2385.78666666667,2020-06-13
SWC.TerminusCM,2355,2020-06-13
UA.EpiCovDA,2327,2020-06-13
CU.80contactw10p,2401,2020-06-14
CU.80contact,2533,2020-06-14
YYG.ParamSearch,2422.3385034952,2020-06-14
LANL.GrowthRate,2346.21473242838,2020-06-14
MIT_CovidAnalytics.DELPHI,2302,2020-06-14
MOBS_NEU.GLEAM_COVID,2333.41487591343,2020-06-14
PSI.DRAFT,2253,2020-06-14
USACE.ERDC_SEIR,2074.96113188725,2020-06-14
UT.Mobility,2297.96487731155,2020-06-14
Auquan.SEIR,2882,2020-06-14
CU.80contact1x10p,2292,2020-06-14
CU.80contact1x5p,2291,2020-06-14
CU.80contactw5p,2289,2020-06-14
CU.nochange,2289,2020-06-14
CU.select,2291,2020-06-14
Covid19Sim.Simulator,2234.09341186425,2020-06-14
CovidActNow.SEIR_CAN,,2020-06-14
Geneva.DeterministicGrowth,2298,2020-06-14
IowaStateLW.STEM,2373,2020-06-14
JHU_IDD.CovidSP,2422.40666666667,2020-06-14
SWC.TerminusCM,2380,2020-06-14
UA.EpiCovDA,2346,2020-06-14
UCLA.SuEIR,2330.04805865622,2020-06-14
CU.80contactw10p,2432,2020-06-15
CU.80contact,2557,2020-06-15
YYG.ParamSearch,2450.48147294876,2020-06-15
LANL.GrowthRate,2368.1289510814,2020-06-15
MIT_CovidAnalytics.DELPHI,2317,2020-06-15
MOBS_NEU.GLEAM_COVID,2351.15937350711,2020-06-15
PSI.DRAFT,2278,2020-06-15
USACE.ERDC_SEIR,2092.60494216652,2020-06-15
UT.Mobility,2315.49340877869,2020-06-15
Auquan.SEIR,2957,2020-06-15
CU.80contact1x10p,2303,2020-06-15
CU.80contact1x5p,2303,2020-06-15
CU.80contactw5p,2305,2020-06-15
CU.nochange,2305,2020-06-15
CU.select,2303,2020-06-15
Covid19Sim.Simulator,2244.39874355483,2020-06-15
CovidActNow.SEIR_CAN,,2020-06-15
IowaStateLW.STEM,2392,2020-06-15
JHU_IDD.CovidSP,2459.31,2020-06-15
SWC.TerminusCM,2405,2020-06-15
UA.EpiCovDA,2363,2020-06-15
UCLA.SuEIR,2349.33521509725,2020-06-15
CU.80contactw10p,2464,2020-06-16
CU.80contact,2587,2020-06-16
YYG.ParamSearch,2478.85506715687,2020-06-16
LANL.GrowthRate,2388.93030323492,2020-06-16
MIT_CovidAnalytics.DELPHI,2331,2020-06-16
MOBS_NEU.GLEAM_COVID,2368.55614242823,2020-06-16
PSI.DRAFT,2300,2020-06-16
USACE.ERDC_SEIR,2109.94993898911,2020-06-16
UT.Mobility,2332.01828353819,2020-06-16
Auquan.SEIR,3027,2020-06-16
CU.80contact1x10p,2318,2020-06-16
CU.80contact1x5p,2321,2020-06-16
CU.80contactw5p,2317,2020-06-16
CU.nochange,2320,2020-06-16
CU.select,2321,2020-06-16
Covid19Sim.Simulator,2254.69694790662,2020-06-16
CovidActNow.SEIR_CAN,,2020-06-16
IowaStateLW.STEM,2410,2020-06-16
JHU_IDD.CovidSP,2496.55666666667,2020-06-16
SWC.TerminusCM,2430,2020-06-16
UA.EpiCovDA,2380,2020-06-16
UCLA.SuEIR,2368.11048202893,2020-06-16
Auquan.SEIR,3091,2020-06-17
CU.80contact1x10p,2338,2020-06-17
CU.80contact1x5p,2337,2020-06-17
CU.80contactw5p,2333,2020-06-17
CU.nochange,2334,2020-06-17
CU.select,2337,2020-06-17
Covid19Sim.Simulator,2264.94141590551,2020-06-17
CovidActNow.SEIR_CAN,,2020-06-17
IowaStateLW.STEM,2427,2020-06-17
JHU_IDD.CovidSP,2534.42333333333,2020-06-17
SWC.TerminusCM,2455,2020-06-17
UA.EpiCovDA,2395,2020-06-17
UCLA.SuEIR,2386.38243577887,2020-06-17
CU.80contactw10p,2505,2020-06-17
CU.80contact,2614,2020-06-17
YYG.ParamSearch,2507.46170226254,2020-06-17
LANL.GrowthRate,2408.92977407549,2020-06-17
MIT_CovidAnalytics.DELPHI,2345,2020-06-17
MOBS_NEU.GLEAM_COVID,2385.61140133824,2020-06-17
PSI.DRAFT,2319.5,2020-06-17
USACE.ERDC_SEIR,2127.00010089167,2020-06-17
UT.Mobility,2346.97146853286,2020-06-17
LANL.GrowthRate,2430.17072897488,2020-06-18
MIT_CovidAnalytics.DELPHI,2358,2020-06-18
MOBS_NEU.GLEAM_COVID,2402.33549209935,2020-06-18
PSI.DRAFT,2343,2020-06-18
USACE.ERDC_SEIR,2143.75166457534,2020-06-18
UT.Mobility,2361.03035982096,2020-06-18
Auquan.SEIR,3152,2020-06-18
CU.80contact1x10p,2352,2020-06-18
CU.80contact1x5p,2352,2020-06-18
CU.80contactw5p,2350,2020-06-18
CU.nochange,2350,2020-06-18
CU.select,2352,2020-06-18
Covid19Sim.Simulator,2275.13564337105,2020-06-18
CovidActNow.SEIR_CAN,,2020-06-18
IowaStateLW.STEM,2442,2020-06-18
JHU_IDD.CovidSP,2572.92,2020-06-18
SWC.TerminusCM,2480,2020-06-18
UA.EpiCovDA,2409,2020-06-18
UCLA.SuEIR,2404.15964710207,2020-06-18
CU.80contactw10p,2545,2020-06-18
YYG.ParamSearch,2536.30373099944,2020-06-18
LANL.GrowthRate,2449.49019208509,2020-06-19
MIT_CovidAnalytics.DELPHI,2371,2020-06-19
MOBS_NEU.GLEAM_COVID,2418.72568394823,2020-06-19
PSI.DRAFT,2362.5,2020-06-19
USACE.ERDC_SEIR,2160.21306101616,2020-06-19
UT.Mobility,2374.33650857833,2020-06-19
Auquan.SEIR,3208,2020-06-19
CU.80contact1x10p,2370,2020-06-19
CU.80contact1x5p,2369,2020-06-19
CU.80contactw5p,2363,2020-06-19
CU.nochange,2365,2020-06-19
CU.select,2369,2020-06-19
Covid19Sim.Simulator,2285.28289857202,2020-06-19
CovidActNow.SEIR_CAN,,2020-06-19
IowaStateLW.STEM,2456,2020-06-19
JHU_IDD.CovidSP,2611.38,2020-06-19
SWC.TerminusCM,2505,2020-06-19
UA.EpiCovDA,2422,2020-06-19
UCLA.SuEIR,2421.45067509443,2020-06-19
CU.80contactw10p,2584,2020-06-19
YYG.ParamSearch,2565.38341475331,2020-06-19
YYG.ParamSearch,2594.70304774063,2020-06-20
YYG.ParamSearch,2594.70304774063,2020-06-20
LANL.GrowthRate,2467.77220468615,2020-06-20
MIT_CovidAnalytics.DELPHI,2384,2020-06-20
MOBS_NEU.GLEAM_COVID,2434.78495976569,2020-06-20
PSI.DRAFT,2386.5,2020-06-20
USACE.ERDC_SEIR,2176.39180191045,2020-06-20
UT.Mobility,2387.99379274458,2020-06-20
Auquan.SEIR,3260,2020-06-20
CU.80contact1x10p,2387,2020-06-20
CU.80contact1x5p,2387,2020-06-20
CU.80contactw5p,2378,2020-06-20
CU.nochange,2382,2020-06-20
CU.select,2387,2020-06-20
Covid19Sim.Simulator,2295.38623805255,2020-06-20
CovidActNow.SEIR_CAN,,2020-06-20
IowaStateLW.STEM,2469,2020-06-20
JHU_IDD.CovidSP,2650.59666666667,2020-06-20
SWC.TerminusCM,2529,2020-06-20
UA.EpiCovDA,2434,2020-06-20
Auquan.SEIR,3260,2020-06-20
COVIDhub.ensemble,2459.5531536794,2020-06-20
CU.80contact1x10p,2387,2020-06-20
CU.80contact1x5p,2387,2020-06-20
CU.80contactw5p,2378,2020-06-20
CU.nochange,2382,2020-06-20
CU.select,2387,2020-06-20
Covid19Sim.Simulator,2295.38623805255,2020-06-20
CovidActNow.SEIR_CAN,,2020-06-20
GT_CHHS.COVID19,2576.333333,2020-06-20
IHME.CurveFit,2548.85712606379,2020-06-20
IowaStateLW.STEM,2469,2020-06-20
JHU_IDD.CovidSP,2650.59666666667,2020-06-20
LANL.GrowthRate,2467.77220468615,2020-06-20
MIT_CovidAnalytics.DELPHI,2384,2020-06-20
MOBS_NEU.GLEAM_COVID,2434.78495976568,2020-06-20
PSI.DRAFT,2386.5,2020-06-20
SWC.TerminusCM,2529,2020-06-20
UA.EpiCovDA,2434,2020-06-20
UCLA.SuEIR,2438.26406135809,2020-06-20
UMass.MechBayes,2429,2020-06-20
USACE.ERDC_SEIR,2176.39180191045,2020-06-20
UT.Mobility,2387.99379274458,2020-06-20
CU.80contactw10p,2633,2020-06-20
CU.80contactw10p,2633,2020-06-20
GT.DeepCOVID,2616.2662,2020-06-20
YYG.ParamSearch,2624.2622158697,2020-06-21
LANL.GrowthRate,2488.21396369025,2020-06-21
MIT_CovidAnalytics.DELPHI,2396,2020-06-21
MOBS_NEU.GLEAM_COVID,2450.541809901,2020-06-21
PSI.DRAFT,2410,2020-06-21
USACE.ERDC_SEIR,2192.25797531039,2020-06-21
UT.Mobility,2400.22459502949,2020-06-21
Auquan.SEIR,3309,2020-06-21
CU.80contact1x10p,2406,2020-06-21
CU.80contact1x5p,2405,2020-06-21
CU.80contactw5p,2396,2020-06-21
CU.nochange,2396,2020-06-21
CU.select,2405,2020-06-21
Covid19Sim.Simulator,2305.4485207626,2020-06-21
CovidActNow.SEIR_CAN,,2020-06-21
IowaStateLW.STEM,2481,2020-06-21
JHU_IDD.CovidSP,2690.35333333333,2020-06-21
SWC.TerminusCM,2554,2020-06-21
UA.EpiCovDA,2446,2020-06-21
UCLA.SuEIR,2454.60874971469,2020-06-21
CU.80contactw10p,2685,2020-06-21
YYG.ParamSearch,2654.05775637464,2020-06-22
LANL.GrowthRate,2508.07288716583,2020-06-22
