cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
213.5,125.51,45.32,7305.02,409.55,791.6,110.68,11,1,82.25,243.58,5.99,541.97,354.45,434.95,4,,1530.27,534.64,41.65,6312.1,164.59,26.84,14.04,22.35,30,3,3196.03,4,8857.97,104.17,,2020-04-12,3-1
241.26,124.59,47,7742.95,416.31,815.2,115.95,11,1,90.97,234.48,6.61,525.33,388.73,440.87,4,,1598.46,519.66,48.11,6774.48,179.23,28.72,15.09,23.66,30,3,3365.66,4,9385.47,119.12,,2020-04-13,3-1
269.96,122.59,48.15,8186.34,423.01,829.56,119.89,11,1,99.5,223.66,7.22,502.54,420.54,445.47,4,,1650.09,499.92,55.19,7202.31,192.83,30.91,16.04,24.78,30,3,3498.65,4,9895.51,135.05,,2020-04-14,3-1
299.25,119.75,48.81,8632.96,395.12,835.38,122.47,11,1,107.66,212.16,7.82,480.17,449.17,447.6,4,,1685.55,478.45,62.85,7635.37,205.12,32.85,16.85,25.71,30,3,3593.63,4,10384.14,151.83,,2020-04-15,3-1
328.81,116.27,49.01,9080.65,344.27,833.56,123.84,11,1,115.32,200.08,8.38,455.78,474.08,445.52,4,,1705.92,474.61,71.09,8034.07,215.91,34.53,17.52,26.44,30,3,3653.59,4,10849.91,169.34,,2020-04-16,3-1
358.34,112.33,48.8,9518.66,299.74,825.1,124.12,11,1,122.33,187.53,8.91,429.57,494.92,429.66,4,,1712.36,481.52,79.86,8356.28,225.07,35.91,18.06,26.98,30,3,3681.81,4,11309.54,187.43,,2020-04-17,3-1
387.57,107.47,48.23,9941.27,238.79,811,123.44,11,1,124.84,174.91,9.4,404.45,511.57,415.06,4,,1706.07,488.35,89.13,8636.67,232.53,36.99,18.45,27.33,30,3,3681.09,4,11774.49,205.96,,2020-04-18,3-1
417.89,100.99,47.35,10346.64,183.83,792.08,121.95,11,1,124.98,162.4,9.84,380.4,524.04,394.65,4,,1688.44,495.11,98.85,8880.19,238.28,37.77,18.71,27.47,30,3,3655.28,4,12245.87,224.79,,2020-04-19,3-1
456.38,86.28,46.2,10731.2,146.8,768.56,119.78,11,1,124.18,150.31,10.23,357.42,532.45,373.91,4,,1660.83,501.79,108.97,9092,242.35,38.26,18.84,27.35,30,3,3608.11,4,12723.77,243.8,,2020-04-20,3-1
495.2,71.58,44.83,11092.76,120.42,741.04,117.08,11,1,122.5,138.68,10.55,335.57,537.03,348.57,4,,1624.78,497.39,119.43,9276.41,244.79,38.49,18.85,26.59,30,3,3543.32,4,13208.14,262.85,,2020-04-21,3-1
534.08,59.33,43.29,11427.13,99.1,710.09,113.95,11,1,120.02,127.66,10.82,314.87,538.09,320.51,4,,1581.75,503.83,130.18,9437.01,245.68,38.46,18.74,25.66,30,3,3464.02,4,13698.89,281.83,,2020-04-22,3-1
572.79,49.24,41.62,11736.22,79.9,676.66,110.49,11,1,116.85,117.47,11.02,295.3,535.97,298.02,4,,1533.1,510.2,141.15,9576.98,245.15,38.21,18.54,24.63,30,3,3372.98,4,14195.97,300.63,,2020-04-23,3-1
611.12,40.98,39.87,12024.53,65.03,641.73,106.77,11,1,113.06,108.09,11.16,276.85,530.98,278.95,4,,1480.2,516.49,152.29,9699.04,243.31,37.76,18.24,23.53,30,3,3272.63,4,14699.37,319.17,,2020-04-24,3-1
648.87,34.3,38.06,12294.43,55.37,606.09,102.89,11,1,108.81,99.49,11.24,259.63,523.54,262.01,4,,1424.35,522.72,163.53,9806.03,240.32,37.13,17.86,22.38,30,3,3165.37,4,15208.89,337.35,,2020-04-25,3-1
685.89,29.5,36.25,12553.79,53.33,560.54,98.92,11,1,104.2,91.73,11.27,245.06,513.98,258.11,4,,1366.87,528.89,174.82,9902.96,236.33,36.35,17.43,20.37,30,3,3053.82,4,15724.52,355.11,,2020-04-26,3-1
722.04,27.15,34.48,12816.08,59.19,501.03,95,11,1,99.36,87.3,11.25,235.19,502.67,268.19,4,,1309.46,534.98,186.12,9996.88,231.5,35.46,16.94,18.08,30,3,2941.98,4,16246.21,372.4,,2020-04-27,3-1
757.22,27.41,32.83,13094.11,70.74,448.16,91.34,11,1,94.46,85.17,11.19,231.36,490.11,289.18,4,,1254.83,541.01,197.38,10095.14,226.03,34.47,16.43,16.08,30,3,2835.42,4,16773.9,389.19,,2020-04-28,3-1
791.36,30.03,31.37,13397.22,85.7,402.61,88.13,11,1,89.66,87.6,10.25,234.09,476.86,317.84,4,,1205.26,546.97,208.56,10204.18,220.14,33.43,15.9,14.39,30,3,2739.69,4,17307.51,405.45,,2020-04-29,3-1
824.44,31.52,30.18,13731.57,102.47,364.75,85.55,11,1,85.06,89.38,9.3,243.35,463.52,351.43,4,,1163.61,552.87,219.65,10329.16,214.1,32.37,15.4,13.03,30,3,2697.03,4,17846.98,421.2,,2020-04-30,3-1
856.47,33.72,29.28,14101.27,120.07,334.65,83.76,11,1,77.33,95.77,8.46,258.88,450.76,387.79,4,,1130.9,558.7,230.62,10474.12,208.17,31.34,14.92,11.99,30,3,2678.98,4,18392.26,436.46,,2020-05-01,3-1
887.49,36.85,28.72,14504.59,138.06,312.05,82.86,11,1,70.51,104.18,7.74,280.36,439.22,418.73,4,,1108.78,564.47,241.49,10642.22,202.6,30.37,14.51,11.25,30,3,2673.07,4,18943.28,451.29,,2020-05-02,3-1
917.59,40.69,28.52,14936.66,156.26,296.53,82.97,11,1,64.68,114.37,7.15,307.5,429.53,444.81,4,,1098.11,570.17,252.25,10835.95,197.62,29.5,14.16,10.8,30,3,2681.93,4,19499.98,465.74,,2020-05-03,3-1
946.89,45.07,28.68,15392.99,174.74,287.52,84.16,11,1,59.83,126.39,6.68,340.18,426.4,466.72,4,,1099.45,587.23,262.95,11057.65,193.47,28.76,13.89,10.61,30,3,2707.9,4,20062.3,479.91,,2020-05-04,3-1
975.55,49.91,29.22,15869.01,193.62,284.46,86.49,11,1,55.95,140.01,6.33,378.49,427.83,485.14,4,,1113.23,593.37,273.6,11309.43,190.32,28.18,13.73,10.64,30,3,2753.19,4,20630.18,493.88,,2020-05-05,3-1
1003.75,55.13,30.13,16363.21,213.1,286.75,90.02,11,1,53.03,155.3,6.09,422.54,430.25,502.85,4,,1139.66,598.94,284.26,11593.55,188.33,27.79,13.67,10.89,30,3,2820.06,4,21203.55,507.76,,2020-05-06,3-1
1031.69,60.72,31.42,16873.8,233.4,293.87,94.82,11,1,51.02,172.22,5.96,472.57,433.99,518.38,4,,1179.05,604.44,294.97,11912.45,187.65,27.62,13.73,11.31,30,3,2910.73,4,21782.37,521.66,,2020-05-07,3-1
1059.61,66.67,33.09,17399,254.72,305.38,100.95,11,1,49.86,191.06,5.92,529.13,439.39,531.7,4,,1231.78,609.89,305.82,12268.88,188.4,27.67,13.9,11.9,30,3,3027.59,4,22366.58,535.71,,2020-05-08,3-1
1087.75,73,35.16,17937.37,277.26,320.9,108.47,11,1,49.5,211.99,5.98,592.57,446.8,545.12,4,,1298.4,615.27,316.85,12665.99,190.69,27.98,14.21,12.64,30,3,3224.75,4,22956.1,550.03,,2020-05-09,3-1
1116.39,79.75,37.65,18489.82,301.23,340.15,117.48,11,1,49.89,235.2,6.13,663.45,457.09,560.56,4,,1379.6,629.11,328.15,13107.36,194.64,28.57,14.65,13.52,30,3,3473.4,4,23560.27,564.77,,2020-05-10,3-1
1145.82,86.94,40.57,19058.86,326.82,362.9,128.09,11,1,50.98,261.11,6.35,743.79,479.86,577.7,4,,1476.25,716.44,339.79,13597.06,200.37,29.45,15.24,14.53,30,3,3768.58,4,24230.86,580.07,,2020-05-11,3-1
1176.36,94.62,43.96,19645.29,354.23,389.03,140.46,11,1,52.73,290,6.65,834.79,508.6,594.91,4,,1589.52,812.97,351.87,14139.67,207.98,30.65,15.97,15.66,30,3,4115.06,4,24994.27,596.09,,2020-05-12,3-1
1208.34,102.84,47.86,20248.45,383.64,418.46,154.76,11,1,55.1,322.16,7.02,936.37,543.83,611.56,4,,1720.71,918.94,364.48,14639.25,217.63,32.19,16.88,16.92,30,3,4517.55,4,25859.46,612.98,,2020-05-13,3-1
