date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-09-04,21,1610,7,45,4,118,,,116,43947,1223,687010,574,,,02000,2000
2020-09-05,21,1610,7,45,4,118,,,117,44180,1208,686785,566,,,02000,2000
2020-09-06,20,1610,6,45,4,118,,,118,44410,1192,686563,559,,,02000,2000
2020-09-07,20,1610,6,45,4,118,,,119,44637,1177,686343,552,,,02000,2000
2020-09-08,20,1610,6,45,4,118,,,120,44861,1161,686127,544,,,02000,2000
2020-09-09,20,1610,6,45,4,118,,,121,45081,1146,685913,537,,,02000,2000
2020-09-10,19,1610,6,45,4,118,,,122,45299,1131,685702,530,,,02000,2000
2020-09-11,19,1610,6,45,4,118,,,123,45514,1116,685495,523,,,02000,2000
2020-09-12,19,1610,6,45,4,118,,,124,45726,1102,685290,516,,,02000,2000
2020-09-13,19,1610,6,45,4,118,,,125,45935,1087,685087,509,,,02000,2000
2020-09-14,18,1610,6,45,4,118,,,126,46141,1073,684888,502,,,02000,2000
2020-09-15,18,1610,6,45,4,118,,,126,46345,1059,684691,495,,,02000,2000
2020-09-16,18,1610,6,45,4,118,,,127,46546,1045,684497,489,,,02000,2000
2020-09-17,18,1610,5,45,4,118,,,128,46744,1031,684306,482,,,02000,2000
2020-09-18,17,1610,5,45,4,118,,,129,46939,1017,684117,476,,,02000,2000
2020-03-11,0,808,0,21,0,72,,,0,0,25,287943,31,0,0,02020,2020
2020-03-12,0,808,0,21,0,72,,,0,13,33,287922,37,1,,02020,2020
2020-03-13,0,808,0,21,0,72,,,0,31,43,287895,47,1,,02020,2020
2020-03-14,0,808,0,21,0,72,,,0,52,54,287862,59,1,,02020,2020
2020-03-15,0,808,0,21,0,72,,,0,79,69,287819,74,1,,02020,2020
2020-03-16,0,808,0,21,0,72,,,0,114,87,287765,94,1,,02020,2020
2020-03-17,0,808,0,21,0,72,1.5,4,0,157,110,287698,118,2,,02020,2020
2020-03-18,1,808,0,21,0,72,1.48,3.32,0,211,138,287618,144,4,,02020,2020
2020-03-19,1,808,0,21,0,72,1.74,3.2,0,275,171,287526,172,4,,02020,2020
2020-03-20,1,808,0,21,0,72,1.66,2.64,0,352,209,287419,202,4,,02020,2020
2020-03-21,2,808,0,21,0,72,1.84,2.38,0,441,251,287298,234,5,,02020,2020
2020-03-22,2,808,0,21,0,72,1.96,2.06,0,543,297,287164,266,6,,02020,2020
2020-03-23,3,808,1,21,0,72,1.8,1.8,0,657,346,287019,296,17,,02020,2020
2020-03-24,3,808,1,21,0,72,1.86,1.62,0,784,396,286866,323,9,1124,02020,2020
2020-03-25,4,808,1,21,0,72,1.74,1.46,0,920,447,286707,345,19,1385,02020,2020
2020-03-26,5,808,1,21,1,72,1.64,1.34,0,1065,495,286548,360,26,1698,02020,2020
2020-03-27,6,808,1,21,1,72,1.58,1.24,0,1213,538,286392,367,35,1890,02020,2020
2020-03-28,6,808,2,21,1,72,1.54,1.16,0,1363,574,286245,365,39,2139,02020,2020
2020-03-29,7,808,2,21,1,72,1.48,1.12,0,1510,600,286111,352,39,2142,02020,2020
2020-03-30,8,808,2,21,1,72,1.46,1.06,0,1649,615,285995,329,55,2470,02020,2020
2020-03-31,8,808,2,21,1,72,1.42,1.02,0,1778,618,285888,306,59,2586,02020,2020
2020-04-01,9,808,3,21,1,72,1.4,0.98,0,1900,614,285782,291,59,2766,02020,2020
2020-04-02,10,808,3,21,2,72,1.36,0.96,0,2016,606,285677,279,66,,02020,2020
2020-04-03,10,808,3,21,2,72,1.34,0.92,0,2129,595,285574,270,73,,02020,2020
2020-04-04,10,808,3,21,2,72,1.32,0.9,0,2237,584,285472,263,81,,02020,2020
2020-04-05,11,808,3,21,2,72,1.32,0.86,0,2344,572,285373,256,85,,02020,2020
2020-04-06,11,808,3,21,2,72,1.3,0.84,0,2447,559,285275,250,88,,02020,2020
2020-04-07,11,808,3,21,2,72,1.28,0.84,0,2548,547,285180,245,98,,02020,2020
2020-04-08,11,808,3,21,2,72,1.28,0.8,0,2647,535,285087,239,103,,02020,2020
2020-04-09,11,808,3,21,2,72,1.26,0.8,0,2743,524,284996,234,109,,02020,2020
2020-04-10,11,808,3,21,2,72,1.3,0.78,0,2838,512,284906,228,112,,02020,2020
2020-04-11,11,808,3,21,2,72,1.28,0.76,0,2930,501,284819,223,121,,02020,2020
2020-04-12,11,808,3,21,2,72,1.22,0.76,0,3020,490,284734,218,127,,02020,2020
2020-04-13,11,808,3,21,2,72,1.22,0.74,0,3109,479,284650,214,131,,02020,2020
2020-04-14,11,808,3,21,2,72,1.22,0.72,0,3195,469,284569,209,136,,02020,2020
2020-04-15,10,808,3,21,2,72,1.16,0.72,0,3279,458,284489,204,139,,02020,2020
2020-04-16,10,808,3,21,2,72,1.16,0.7,0,3362,448,284411,200,143,,02020,2020
2020-04-17,10,808,3,21,2,72,1.16,0.7,0,3443,438,284335,195,150,,02020,2020
2020-04-18,10,808,3,21,2,72,1.16,0.68,0,3522,428,284260,191,151,,02020,2020
2020-04-19,10,808,3,21,2,72,1.12,0.68,0,3599,419,284187,187,154,,02020,2020
2020-04-20,10,808,3,21,2,72,1.12,0.68,0,3674,410,284116,182,155,,02020,2020
2020-04-21,10,808,3,21,2,72,1.12,0.68,0,3748,401,284046,178,160,,02020,2020
2020-04-22,9,808,3,21,2,72,1.1,0.7,0,3820,392,283978,174,164,,02020,2020
