"amt_ICU beds needed|Mitigated",date,dataKey,hospital_capacity,icu_capacity,"range_ICU beds needed|Mitigated",epi_week,"amt_Hospital beds needed|Mitigated","range_Hospital beds needed|Mitigated","amt_New Deaths|Mitigated","range_New Deaths|Mitigated","amt_Total Deaths|Mitigated","range_Total Deaths|Mitigated","amt_New Infectious|Mitigated","range_New Infectious|Mitigated","amt_Total Infectious|Mitigated","range_Total Infectious|Mitigated","amt_New Attack Rate|Mitigated","range_New Attack Rate|Mitigated","amt_Attack Rate|Mitigated","range_Attack Rate|Mitigated","amt_New Deaths per 10,000|Mitigated","range_New Deaths per 10,000|Mitigated","amt_Total Deaths per 10,000|Mitigated","range_Total Deaths per 10,000|Mitigated","amt_New Infectious per 10,000|Mitigated","range_New Infectious per 10,000|Mitigated","amt_Total Infectious per 10,000|Mitigated","range_Total Infectious per 10,000|Mitigated"
0.0106520409844055,2020-03-19,"Total Infectious per 10,000|Mitigated",1542,193,0|2,2020-12,0.0515843303286654,0|3,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0
0.637042833032063,2020-05-24,"Hospital beds needed|Mitigated",1542,193,0|8,2020-22,2.58736704975264,0|19,0.0550363569079251,0|0.4787702,3.20050430553948,0.0607599|8.2722075,9.09504812487974,0|66,647.578656270054,20|1824,1.18592271325698e-05,0|8.60588069466601e-05,0.0008443916145867,2.60784263474728e-05|0.00237835248288952,0.000717630790028274,0|0.0062427866990324,0.0417320579033904,0.000792261288514905|0.107863077009881,0.118592271325698,0|0.860588069466601,8.443916145867,0.260784263474728|23.7835248288952
0.635081440595158,2020-05-25,"Hospital beds needed|Mitigated",1542,193,0|7,2020-22,2.5733355223877,0|19,0.0547547240070145,0|0.4152882,3.25525902954648,0.0618034|8.2969563,9.15123974569446,0|68,656.729896015759,20|1855,1.19324965848079e-05,0|8.86666495814074e-05,0.00085632411117152,2.60784263474728e-05|0.0024187740437281,0.000713958518596563,0|0.00541503136833727,0.0424460164219868,0.000805867707461699|0.108185781888875,0.119324965848079,0|0.886666495814074,8.5632411117152,0.260784263474728|24.187740437281
0.633354534864272,2020-05-26,"Hospital beds needed|Mitigated",1542,193,0|8,2020-22,2.56663035247044,0|18,0.0545552340662116,0|0.4517255,3.3098142636127,0.0618034|8.3822118,9.12156952125448,0|69,665.851465536996,20|1881,1.18938089466694e-05,0|8.99705708987811e-05,0.000868217920118167,2.60784263474728e-05|0.00245267599797981,0.000711357326732418,0|0.00589014509051266,0.0431573737487193,0.000805867707461699|0.109297446527609,0.118938089466694,0|0.899705708987811,8.68217920118167,0.260784263474728|24.5267599797981
0.631800832140219,2020-05-27,"Hospital beds needed|Mitigated",1542,193,0|8,2020-22,2.56401654075786,0|21,0.0540136766382428,0|0.4496126,3.3638279402509,0.0618034|8.3966139,9.1570689206018,0|74,675.008534457604,20|1898,1.19400973702323e-05,0|9.64901774856492e-05,0.000880158017488408,2.60784263474728e-05|0.00247484266037517,0.000704295843983313,0|0.00586259453699787,0.0438616695927021,0.000805867707461699|0.109485238579658,0.119400973702323,0|0.964901774856492,8.80158017488408,0.260784263474728|24.7484266037517
0.631294194447068,2020-05-28,"Hospital beds needed|Mitigated",1542,193,0|8,2020-22,2.55977745591516,0|20,0.0536383137406231,0|0.418248,3.41746625399153,0.0625975|8.4087035,9.1790921969958,0|78,684.187626654598,20|1926,1.19688139898008e-05,0|0.000101705862755144,0.000892126831478206,2.60784263474728e-05|0.00251135245726163,0.000699401407143738,0|0.0054536248314889,0.0445610709998459,0.000816222146642963|0.109642877451243,0.119688139898008,0|1.01705862755144,8.92126831478206,0.260784263474728|25.1135245726163
0.62992848766734,2020-05-29,"Hospital beds needed|Mitigated",1542,193,0|8,2020-22,2.55610389150353,0|20,0.0537503330946361,0|0.4422876,3.47121658708619,0.0625975|8.4270112,9.16744877813472,0|77,693.355075432739,20|1955,1.19536318877408e-05,0|0.00010040194143777,0.000904080463365955,2.60784263474728e-05|0.00254916617546546,0.000700862051380297,0|0.00576708230050025,0.0452619330512265,0.000816222146642963|0.109881595454264,0.119536318877408,0|1.0040194143777,9.04080463365955,0.260784263474728|25.4916617546546
0.627938344286715,2020-05-30,"Hospital beds needed|Mitigated",1542,193,0|8,2020-22,2.55374105152786,0|19,0.0535489626517757,0|0.4127961,3.52476554973801,0.0625975|8.4551604,9.20727805590751,0|92,702.56235348863,20|1977,1.20055661320843e-05,0|0.000119960761198375,0.000916086029498018,2.60784263474728e-05|0.00257785244444768,0.000698236339248951,0|0.005382536345187,0.0459601693904761,0.000816222146642963|0.110248638873734,0.120055661320843,0|1.19960761198375,9.16086029498018,0.260784263474728|25.7785244444768
0.629224163036929,2020-05-31,"Hospital beds needed|Mitigated",1542,193,0|8,2020-23,2.56035115272658,0|22,0.0528352456828763,0|0.4884662,3.57760079542084,0.0625975|8.5745422,9.24563160065777,0|90,711.807985089294,20|2008,1.2055576136681e-05,0|0.000117352918563627,0.000928141605634707,2.60784263474728e-05|0.00261827400528627,0.000688930031545759,0|0.00636921490996495,0.0466490994220212,0.000816222146642963|0.111805283612999,0.12055576136681,0|1.17352918563627,9.28141605634707,0.260784263474728|26.1827400528627
0.633234863980869,2020-06-01,"Hospital beds needed|Mitigated",1542,193,0|10,2020-23,2.56201495389687,0|22,0.0530606852319263,0|0.444006,3.63066148065279,0.0625975|8.6086147,9.25742779313737,0|98,721.065412882435,20|2030,1.2070957443519e-05,0|0.000127784289102617,0.00094021256307823,2.60784263474728e-05|0.00264696027426849,0.000691869585883613,0|0.005789488884418,0.0473409690079052,0.000816222146642963|0.112249562203861,0.12070957443519,0|1.27784289102617,9.4021256307823,0.260784263474728|26.4696027426849
0.633462917984041,2020-06-02,"Hospital beds needed|Mitigated",1542,193,0|9,2020-23,2.56435266285869,0|23,0.0533384564815691,0|0.4867712,3.68399993713431,0.0625975|8.7027644,9.29606696211599,0|100,730.361479844553,20|2087,1.21213398796358e-05,0|0.000130392131737364,0.00095233390295787,2.60784263474728e-05|0.00272128378935878,0.00069549150442124,0|0.00634711344363547,0.0480364605123257,0.000816222146642963|0.113477200212404,0.121213398796358,0|1.30392131737364,9.5233390295787,0.260784263474728|27.2128378935878
0.634727016921909,2020-06-03,"Hospital beds needed|Mitigated",1542,193,0|9,2020-23,2.57441233682645,0|23,0.0527183864726092,0|0.4733428,3.73671832360698,0.0633916|8.8093523,9.35375908049778,0|112,739.715238925064,20|2154,1.21965658626383e-05,0|0.000146039187545848,0.000964530468820525,2.60784263474728e-05|0.00280864651762282,0.000687406279391771,0|0.00617201767345327,0.0487238667917183,0.000826576585824227|0.114867022562245,0.121965658626383,0|1.46039187545848,9.64530468820525,0.260784263474728|28.0864651762282
0.634458706901277,2020-06-04,"Hospital beds needed|Mitigated",1542,193,0|9,2020-23,2.57951459386165,0|22,0.052880000967611,0|0.5407968,3.78959832457453,0.0641857|8.8213521,9.37593902672865,0|110,749.091177951792,20|2223,1.22254867673469e-05,0|0.0001434313449111,0.000976755955587871,2.60784263474728e-05|0.0028986170885216,0.000689513605244066,0|0.00705156475887448,0.0494133803969615,0.000836931025005491|0.115023490512487,0.122254867673469,0|1.434313449111,9.76755955587871,0.260784263474728|28.986170885216
0.637467976811948,2020-06-05,"Hospital beds needed|Mitigated",1542,193,0|9,2020-23,2.59011397679813,0|22,0.0524071828055054,0|0.5124986,3.84200550738002,0.0649798|8.8881188,9.39123494794098,0|116,758.482412899725,20|2311,1.22454314450846e-05,0|0.000151254872815342,0.000989001387032945,2.60784263474728e-05|0.00301336216445048,0.000683348428435956,0|0.00668257849664146,0.0500967288253974,0.000847285464186755|0.115894075746694,0.122454314450846,0|1.51254872815342,9.89001387032945,0.260784263474728|30.1336216445048
0.638587299510034,2020-06-06,"Hospital beds needed|Mitigated",1542,193,0|9,2020-23,2.60019110445876,0|22,0.052616611442223,0|0.508127,3.89462211882227,0.0649798|9.072984,9.4573804464369,0|115,767.939793346165,20|2379,1.23316799706217e-05,0|0.000149950951497968,0.00100133306700357,2.60784263474728e-05|0.00310202881403189,0.000686079213074803,0|0.00662557627233115,0.0507828080384725,0.000847285464186755|0.118304572497899,0.123316799706217,0|1.49950951497968,10.0133306700357,0.260784263474728|31.0202881403189
