date,region,index,mean,median,lower_80,upper_80,symptomatic_onsets,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,new_tests,new_cases,new_deaths
2020-04-07,AK,35,0.666303811788649,0.665975162327482,0.598134131484836,0.718624255429655,8.04416058183092,13.5450881077225,41.2873496212993,22,30,30,22,0
2020-04-08,AK,36,0.660158250692934,0.659974228642468,0.593209387201739,0.715009791715808,7.49299979404954,13.1201091529402,24.3970702307678,13,155,155,13,1
2020-04-09,AK,37,0.654934221142345,0.652938060528907,0.589131667733483,0.708059191297663,6.9634745766079,12.6512621410883,16.8902793905315,9,155,155,9,0
2020-04-10,AK,38,0.653430393820526,0.654025466259377,0.591941766761013,0.708234569462465,6.45928354170971,12.1564696154913,20.6436748106497,11,209,209,11,0
2020-04-11,AK,39,0.652850731846554,0.650279275561418,0.596954281426394,0.710780808179862,5.98262623904276,11.6363207201395,20.6436748106497,11,300,300,11,1
2020-04-12,AK,40,0.653462603689101,0.652710458700323,0.589220746476941,0.702784568608405,5.53588779874593,11.1070481689624,28.1504656508859,15,306,306,15,0
2020-04-13,AK,41,0.655977976035666,0.655190757807581,0.606480171200527,0.724806821304515,5.12058035025914,10.5526682267722,9.3834885502953,5,0,-208,5,0
2020-04-14,AK,42,0.659769625745901,0.656729736313061,0.604079801297664,0.720829336856545,4.73651929150067,9.9999954981058,10.0747509500622,8,518,518,8,1
2020-04-15,AK,43,0.66597356766398,0.66365802142862,0.608962993028858,0.725844277543028,4.38307643054745,9.45093571398903,15.0135816804725,8,316,316,8,0
2020-04-16,AK,44,0.671847698747374,0.672962370829106,0.60694421753748,0.725976935171072,4.05923872511552,8.91373801975509,13.1368839704134,7,71,71,7,0
2020-04-17,AK,45,0.680501216432076,0.679727766886607,0.626926919159973,0.747995450687495,3.76419589502881,8.38074750917915,8.21127428831995,9,715,715,9,0
2020-04-18,AK,46,0.68962577187556,0.69064622897043,0.625267106835998,0.747294599732397,3.4961190283133,7.86820539233242,9.3834885502953,5,205,205,5,0
2020-04-19,AK,47,0.701211486380791,0.700865988499506,0.638303007619311,0.766542215036626,3.25313368214835,7.37395702547471,9.3834885502953,5,240,240,5,0
2020-04-20,AK,48,0.71374853498851,0.711805428697213,0.649433711371312,0.777658435766405,3.03372526407084,6.90209241888106,3.75339542011812,2,229,229,2,0
2020-04-21,AK,49,0.726643257938295,0.725342902120759,0.664676000445448,0.801560055557713,2.83665847480213,6.45688015331272,5.24494572073592,8,995,995,8,0
2020-04-22,AK,50,0.740715245305727,0.740030802658303,0.670402758385902,0.809401172326172,2.6605535652462,6.03280743741801,3.76350071547998,6,1040,1040,6,0
2020-04-23,AK,51,0.756876249549975,0.754503026897882,0.673142705664184,0.81672163312983,2.50342948797485,5.63604323608524,3.75339542011812,2,2,2,2,0
2020-04-24,AK,52,0.77215563541447,0.770520017184733,0.689149222796629,0.833770468366036,2.36345247469961,5.26473575831035,3.75339542011812,2,120,120,2,0
2020-04-25,AK,53,0.787721675794343,0.783346349013187,0.716547891437128,0.865739450369854,2.23933225454318,4.92336964029028,0,0,3451,3451,0,0
2020-04-26,AK,54,0.806426132192507,0.804563429370911,0.729483738127307,0.878062565334876,2.12955892434008,4.60130803432422,2.93186572591699,2,445,445,2,0
2020-04-27,AK,55,0.824569705443651,0.820449421658757,0.747106442176895,0.895469338758791,2.03261144642091,4.30593892320956,7.50679084023624,4,79,79,4,0
2020-04-28,AK,56,0.845597268481301,0.845449370513865,0.760191993958583,0.916965415506942,1.94780793071628,4.03610312959844,4.69872838427272,6,833,833,6,0
2020-04-29,AK,57,0.86944116392326,0.867987364436714,0.78687793935095,0.950525520423041,1.8744674628723,3.7854946251475,1.28539925914587,4,2030,2030,4,0
2020-04-30,AK,58,0.892852134557043,0.894881719358302,0.794981911021771,0.961930762595813,1.81192685093987,3.56054256188516,0,0,0,0,0,0
2020-05-01,AK,59,0.918025829203721,0.91742253228587,0.819204339335449,0.98916675600317,1.76003711365525,3.3551262731613,4.86820988072037,9,1206,1206,9,0
2020-05-02,AK,60,0.94167761860778,0.936008539893138,0.847232667657829,1.02493589666228,1.71838942243368,3.16819858787349,0.607393039121536,1,1074,1074,1,0
2020-05-03,AK,61,0.966232112284103,0.961982549804055,0.876587814897046,1.061491691631,1.68644123477118,2.99753842307491,5.63009313017718,3,179,179,3,0
2020-05-04,AK,62,0.990910150341225,0.988044105825857,0.884414851229577,1.07714039294395,1.66353847676512,2.84882743709281,3.75339542011812,2,145,145,2,0
2020-05-05,AK,63,1.01616507912984,1.01725010159969,0.907594565897866,1.1078607841132,1.64910697211153,2.70603386642896,0.67320962230808,1,969,969,1,0
2020-05-06,AK,64,1.04553153505245,1.03791260549545,0.954495273651688,1.15747157105021,1.64284663767823,2.5850041606633,0.67740407478352,1,963,963,1,1
2020-05-07,AK,65,1.07554585425214,1.07077068180107,0.976858671259272,1.17788465600712,1.64469646376683,2.47780749526619,1.90186625077705,2,686,686,2,0
2020-05-08,AK,66,1.10272953902757,1.09762189160306,0.998829959637617,1.20137721427292,1.6552700388307,2.38341020768893,1.72881658308268,3,1132,1132,3,0
2020-05-09,AK,67,1.13160049285274,1.12534228699719,1.01230511736944,1.20949901632446,1.67523451645744,2.30166934755194,0.6683812746071,1,976,976,1,0
2020-05-10,AK,68,1.15902498393707,1.15774085850434,1.04575945826984,1.25368944367905,1.70452055956251,2.23213011667307,0.712940026247573,1,915,915,1,0
2020-05-11,AK,69,1.18404079554724,1.18198168946042,1.06678932547246,1.28084892268461,1.74318893219014,2.17423657183587,0.991398364766762,2,1316,1316,2,0
2020-05-12,AK,70,1.20994758910321,1.20647893716306,1.08823915758123,1.30698746132369,1.79152569889504,2.12761284805194,1.01848575178225,2,1281,1281,2,0
2020-05-13,AK,71,1.23621292380225,1.23577012777125,1.13027141258529,1.35177818538324,1.84957123012076,2.09202169693152,0,0,688,688,0,0
2020-05-14,AK,72,1.25610500214395,1.25025872074615,1.133057300906,1.35230461783109,1.91780943618711,2.06731201671101,2.34443890032895,4,1113,1113,4,0
2020-05-15,AK,73,1.27666234316593,1.27737523890653,1.15894384184528,1.39120321816535,1.99719162284377,2.05339770270141,0.994420920756904,1,656,656,1,0
2020-05-16,AK,74,1.29619197904654,1.29436604273159,1.17723203600508,1.41633073699372,2.08771515362951,2.05025124309208,3.02359269532574,4,863,863,4,0
2020-05-17,AK,75,1.31002748091586,1.3082465375795,1.19788637046402,1.42631437872739,2.18948000213372,2.0579041190087,1.90464269785848,4,1370,1370,4,0
2020-05-18,AK,76,1.32427035838812,1.32555794326677,1.19746151163192,1.42808793998182,2.30335549420512,2.07649238728166,2.03856288755165,3,960,960,3,0
2020-05-19,AK,77,1.335186538341,1.33385699415247,1.23066409719572,1.4647159627048,2.42950789767514,2.10620313717229,0,0,769,769,0,0
2020-05-20,AK,78,1.34108407402322,1.33728496659442,1.21504069390008,1.45421460596512,2.56812042169483,2.1472355124518,2.94288777751818,3,665,665,3,0
2020-05-21,AK,79,1.34260643703452,1.34203198330262,1.21869865380231,1.44687112452458,2.71954682973346,2.1998531941344,0,0,2500,2500,0,0
2020-05-22,AK,80,1.34352729700568,1.33800495871803,1.2208894549183,1.45757953280453,2.88323915100858,2.2643472551167,0.686312597597611,2,1901,1901,2,0
2020-05-23,AK,81,1.34291226773384,1.33732257695537,1.21309391579059,1.46083878125219,3.05808338774045,2.34101984232774,2.8832712663714,4,905,905,4,0
2020-05-24,AK,82,1.3367252118967,1.32894976299864,1.1948300392429,1.43747910415397,3.24368591485537,2.43018119337697,0,0,1156,1156,0,0
2020-05-25,AK,83,1.33060966803482,1.32276889464762,1.20938171227495,1.46706788416943,3.44026240898624,2.53210056014302,0.676000128514538,1,965,965,1,0
2020-05-26,AK,84,1.31978337183208,1.31529197485126,1.18991240134586,1.43997901758931,3.64658694211207,2.64689567899948,2.65178912201841,2,492,492,2,0
2020-05-27,AK,85,1.30862215659585,1.29959130747133,1.18425541624806,1.44766627356314,3.86143766597675,2.77458674255264,0.466290295937476,1,1399,1399,1,0
2020-05-28,AK,86,1.2988171245672,1.29477580653912,1.1689856730508,1.43745241969771,4.08324898273449,2.91514226526945,5.27717586323266,13,1607,1607,13,0
2020-05-29,AK,87,1.28450301397484,1.28174602715943,1.14983160009841,1.41943281973202,4.31038672462232,3.06841954982581,2.22035440441297,5,1469,1469,5,0
2020-05-30,AK,88,1.27456773984496,1.27410189739395,1.12733943240524,1.40704483913945,4.54271050683585,3.23413905672793,1.15663142556122,4,2256,2256,4,0
2020-05-31,AK,89,1.25939137595807,1.25560965741739,1.11054082479902,1.39167443168925,4.77885374082531,3.41184318311358,0,0,0,0,0,0
2020-06-01,AK,90,1.24789340890166,1.24489249942628,1.08913030623274,1.37004398395277,5.01818460750525,3.60088421650742,8.62814592887594,33,2495,2495,33,0
2020-06-02,AK,91,1.2364613190426,1.23510956295243,1.08774156567763,1.380877177778,5.25920322891864,3.80054235027585,6.48127296588703,20,2013,2013,20,0
2020-06-03,AK,92,1.22492972170847,1.21902151970682,1.08291722311702,1.37974187553004,5.5009860372312,4.01001866013488,5.93336141096389,18,1979,1979,18,0
2020-06-04,AK,93,1.21327496382405,1.19850309084627,1.07100527486738,1.37735449058723,5.74387746028652,4.22846142849483,2.72518067474268,8,1915,1915,8,0
2020-06-05,AK,94,1.20017607606775,1.19345311467737,1.05999686133473,1.37943574708606,5.98754189924519,4.45494257355625,8.03554464074112,11,893,893,11,0
2020-06-06,AK,95,1.19347940331162,1.17922197988433,1.04907463688196,1.39043646437478,6.23147106817822,4.6884911544918,2.68913826458205,12,2911,2911,12,0
2020-06-07,AK,96,1.18736372813189,1.17640183939092,1.0523098569986,1.41150218138757,6.47427177380395,4.92818553692374,5.20311165716075,8,1003,1003,8,0
2020-06-08,AK,97,1.18520883182078,1.17054402240372,1.03665638331013,1.39907720274612,6.7179582198561,5.1731880170411,12.2960936074544,19,1008,1008,19,0
2020-06-09,AK,98,1.18501161140588,1.17785788660677,0.973659165186955,1.34099774409232,6.96605465179748,5.42271370431669,6.67014441734693,10,978,978,10,1
2020-06-10,AK,99,1.18538119654757,1.16793903610552,0.998083326464031,1.37683422211036,7.22216825810365,5.67596699619432,15.7190391329284,20,830,830,20,0
2020-06-11,AK,100,1.18339162976935,1.17316386296191,1.00036828424083,1.39056270798155,7.4898487435701,5.93233277708373,9.09536966095858,18,1291,1291,18,0
2020-06-12,AK,101,1.18382511031553,1.17483599021125,0.955511490072079,1.36817385590233,7.77120731235036,6.19159174503448,4.88644287652831,14,1869,1869,14,1
2020-06-13,AK,102,1.18312308636979,1.16653355096626,0.939177661592146,1.35028658489522,8.06607571369195,6.45404191795892,20.4960602345388,29,923,923,29,0
2020-06-14,AK,103,1.18052379954389,1.17118460902209,0.962359752933823,1.38467499865817,8.37629248798431,6.72048587456223,2.74421927170415,7,1664,1664,7,0
2020-06-15,AK,104,1.17908175532766,1.16743366182835,0.925651228264056,1.36623460080764,8.70424375111519,6.99211938606517,2.01754677530885,3,970,970,3,0
2020-06-16,AK,105,1.17772886529082,1.16660530969926,0.915786676497199,1.36264965364334,9.04857598394752,7.27025456928968,4.40274549392483,12,1778,1778,12,0
2020-06-17,AK,106,1.17810630063785,1.1658237129709,0.919983448882355,1.3689474509371,9.40939307408357,7.55632114854922,8.73279951829356,20,1494,1494,20,0
2020-06-18,AK,107,1.18123502493377,1.17023447007606,0.904565850430814,1.35843417322538,9.78953049455636,7.85189299195174,2.25203725207087,12,3476,3476,12,0
2020-06-19,AK,108,1.18319386699818,1.16909944943336,0.943733151666984,1.4082701229864,10.1940141797929,8.15842354203878,3.73375377605536,14,2446,2446,14,0
2020-06-20,AK,109,1.18155476486526,1.16536163427626,0.927703356645974,1.40097688682181,10.629471064196,8.47720904983064,4.16767344215002,21,3287,3287,21,0
